community,species,family,incubator,Autumn,Winter,Spring,Summer,T50,EHS,Delay_time,Germination_shift
Temperate,Androsace villosa,Primulaceae,fellfield,0.0,0.0,0.0,0.0,NA,NA,NA,-0.6
Temperate,Anthyllis vulneraria,Fabaceae,fellfield,5.9,0.0,0.0,2.1,NA,NA,NA,12.2
Temperate,Arenaria erinacea,Caryophyllaceae,fellfield,22.7,0.0,0.0,0.0,NA,NA,NA,69.1
Temperate,Arenaria moehringioides,Caryophyllaceae,fellfield,3.9,0.0,38.5,3.9,272.0,1082.5,22.0,30.8
Temperate,Armeria cantabrica,Plumbaginaceae,fellfield,0.7,0.0,65.7,30.1,238.2,654.2,39.8,30.8
Temperate,Carex sempervirens,Cyperaceae,fellfield,0.0,0.0,96.6,2.6,244.9,694.0,38.0,38.2
Temperate,Dethawia splendens,Apiaceae,fellfield,0.0,0.0,94.9,0.0,212.9,457.6,17.5,11.9
Temperate,Erigeron alpinus,Asteraceae,fellfield,0.0,0.0,100.0,0.0,219.8,463.9,41.9,43.8
Temperate,Euphrasia salisburgensis,Orobanchaceae,fellfield,0.0,0.0,0.5,1.0,NA,NA,NA,0.1
Temperate,Festuca hystrix,Poaceae,fellfield,97.1,0.0,2.9,0.0,15.1,144.8,107.7,83.2
Temperate,Festuca rubra,Poaceae,fellfield,0.0,0.0,100.0,0.0,239.5,648.0,-239.5,NA
Temperate,Gentiana verna,Gentianaceae,fellfield,0.0,0.0,8.7,0.0,NA,NA,NA,1.2
Temperate,Gentianella campestris,,fellfield,0.0,0.0,0.0,0.0,NA,NA,NA,0.0
Temperate,Gypsophila repens,Caryophyllaceae,fellfield,17.4,0.0,70.5,8.1,230.3,566.0,51.6,75.4
Temperate,Helianthemum canum,Cistaceae,fellfield,19.0,0.0,5.8,4.3,279.0,1245.0,NA,29.8
Temperate,Helianthemum urrielense,Cistaceae,fellfield,65.6,0.0,0.0,3.1,13.3,135.3,1.4,-32.5
Temperate,Helictotrichon sedenense,Poaceae,fellfield,7.1,0.0,92.9,0.0,229.6,568.3,2.0,23.0
Temperate,Iberis carnosa,Brassicaceae,fellfield,76.6,0.0,2.1,12.8,9.6,97.8,302.1,183.4
Temperate,Jasione cavanillesii,Campanulaceae,fellfield,0.0,0.0,27.1,1.4,226.3,491.5,46.0,14.0
Temperate,Jurinea humilis,Asteraceae,fellfield,42.9,0.0,57.1,0.0,119.6,376.3,110.9,94.1
Temperate,Kobresia myosuroides,,fellfield,0.0,0.0,0.0,0.0,NA,NA,NA,0.0
Temperate,Koeleria vallesiana,Poaceae,fellfield,100.0,0.0,0.0,0.0,12.1,132.0,17.9,54.5
Temperate,Minuartia CF,Caryophyllaceae,fellfield,25.3,0.0,14.1,5.1,227.0,534.0,NA,97.2
Temperate,Minuartia verna,Caryophyllaceae,fellfield,41.5,0.0,0.0,1.1,NA,NA,NA,112.4
Temperate,Pedicularis pyrenaica,Orobanchaceae,fellfield,0.0,0.0,41.1,0.0,203.7,378.3,45.8,21.1
Temperate,Phyteuma orbiculare,Campanulaceae,fellfield,0.0,0.0,20.0,0.0,NA,NA,NA,-11.4
Temperate,Plantago alpina,Plantaginaceae,fellfield,25.9,0.0,73.5,0.6,176.0,334.4,58.5,83.0
Temperate,Ranunculus carinthiacus,Ranunculaceae,fellfield,0.0,0.0,26.7,0.0,NA,NA,NA,24.7
