"","community","species","ind","N_leaves","leaf_area","dry_weight_mg","fresh_weight_mg","LDMC","SLA"
"1","Albos","Erysimum duriaei",1,2,56.9611,3.78,11.87,0.318449873631003,15.0690740740741
"2","Albos","Erysimum duriaei",10,2,37.7285,2.85,9.03,0.315614617940199,13.2380701754386
"3","Albos","Erysimum duriaei",2,2,68.8308,4.06,13.37,0.303664921465969,16.9533990147783
"4","Albos","Erysimum duriaei",3,2,105.0806,6.08,24.05,0.252806652806653,17.2829934210526
"5","Albos","Erysimum duriaei",4,2,134.8869,9.11,34.84,0.261481056257176,14.8064654226125
"6","Albos","Erysimum duriaei",5,2,81.7593,5.85,18.79,0.311335816923896,13.9759487179487
"7","Albos","Erysimum duriaei",6,2,186.1339,11.76,50.8,0.231496062992126,15.827712585034
"8","Albos","Erysimum duriaei",7,2,86.047,6.06,19.64,0.308553971486762,14.1991749174917
"9","Albos","Erysimum duriaei",8,2,112.6118,8.16,28.76,0.283727399165508,13.8004656862745
"10","Albos","Erysimum duriaei",9,2,97.8769,7.38,22.52,0.327708703374778,13.2624525745257
"11","Mediterranean","Agrostis tileni",1,2,75.7153,3.04,8.63,0.35225955967555,24.9063486842105
"12","Mediterranean","Agrostis tileni",10,2,87.2352,2.98,10.56,0.28219696969697,29.2735570469799
"13","Mediterranean","Agrostis tileni",2,2,124.0206,5.38,15.14,0.355350066050198,23.052156133829
"14","Mediterranean","Agrostis tileni",3,2,88.9995,3.27,9.89,0.330637007077856,27.2169724770642
"15","Mediterranean","Agrostis tileni",4,2,39.9124,2.32,5.9,0.393220338983051,17.2036206896552
"16","Mediterranean","Agrostis tileni",5,2,118.0109,4.81,13.64,0.352639296187683,24.5344906444906
"17","Mediterranean","Agrostis tileni",6,2,68.9872,2.11,7,0.301428571428571,32.695355450237
"18","Mediterranean","Agrostis tileni",7,2,77.6533,2.26,8.52,0.265258215962441,34.3598672566372
"19","Mediterranean","Agrostis tileni",8,2,64.2551,4.01,10.5,0.381904761904762,16.0237157107232
"20","Mediterranean","Agrostis tileni",9,2,56.662,2.68,8.24,0.325242718446602,21.1425373134328
"21","Mediterranean","Armeria duriaei",1,2,291.9475,21.21,66.54,0.318755635707845,13.764615747289
"22","Mediterranean","Armeria duriaei",10,2,418.4942,25.4,92.79,0.273736394007975,16.4761496062992
"23","Mediterranean","Armeria duriaei",2,2,401.0823,38.16,119.26,0.319973167868523,10.5105424528302
"24","Mediterranean","Armeria duriaei",3,2,368.724,26.84,96.11,0.279263344084903,13.7378539493294
"25","Mediterranean","Armeria duriaei",4,2,324.4579,29.73,90.55,0.32832689122032,10.9134846955937
"26","Mediterranean","Armeria duriaei",5,2,256.6425,18.13,58.74,0.308648280558393,14.1556811913955
"27","Mediterranean","Armeria duriaei",6,2,289.5674,19.6,59.82,0.327649615513206,14.7738469387755
"28","Mediterranean","Armeria duriaei",7,2,356.9068,28.57,84.11,0.339674236119367,12.4923626181309
"29","Mediterranean","Armeria duriaei",8,2,202.4417,13.87,37.35,0.371352074966533,14.5956524873828
"30","Mediterranean","Armeria duriaei",9,2,231.3484,17.5,45.29,0.386398763523957,13.2199085714286
"31","Mediterranean","Avenella flexuosa",1,2,128.1456,8.53,18.67,0.456882699517943,15.0229308323564
"32","Mediterranean","Avenella flexuosa",10,2,37.8116,3.16,8.41,0.375743162901308,11.9656962025316
"33","Mediterranean","Avenella flexuosa",2,2,24.0537,1.98,4.57,0.433260393873085,12.1483333333333
"34","Mediterranean","Avenella flexuosa",3,2,99.3001,5.6,15.53,0.360592401802962,17.7321607142857
"35","Mediterranean","Avenella flexuosa",4,2,140.762,7.89,23.52,0.335459183673469,17.8405576679341
"36","Mediterranean","Avenella flexuosa",5,2,119.4397,8.97,21.86,0.410338517840805,13.3154626532887
"37","Mediterranean","Avenella flexuosa",6,2,195.3895,15.56,40.39,0.385243872245605,12.5571658097686
"38","Mediterranean","Avenella flexuosa",7,2,53.6871,4.62,11.15,0.414349775784753,11.6205844155844
"39","Mediterranean","Avenella flexuosa",8,2,57.2818,4.75,10.96,0.433394160583942,12.0593263157895
"40","Mediterranean","Avenella flexuosa",9,2,163.0247,8.81,26.18,0.336516424751719,18.5045062429058
"41","Mediterranean","Calluna vulgaris",1,6,13.7576,0.97,2.29,0.423580786026201,14.1830927835052
"42","Mediterranean","Calluna vulgaris",10,6,20.0343,0.99,2.52,0.392857142857143,20.2366666666667
"43","Mediterranean","Calluna vulgaris",2,6,11.4172,0.74,1.47,0.503401360544218,15.4286486486487
"44","Mediterranean","Calluna vulgaris",3,6,12.6098,0.93,1.53,0.607843137254902,13.5589247311828
"45","Mediterranean","Calluna vulgaris",4,6,13.2851,0.87,1.95,0.446153846153846,15.2702298850575
"46","Mediterranean","Calluna vulgaris",5,6,12.7203,0.81,2.1,0.385714285714286,15.7040740740741
"47","Mediterranean","Calluna vulgaris",6,6,11.81,0.9,2,0.45,13.1222222222222
"48","Mediterranean","Calluna vulgaris",7,6,6.6606,0.51,1.02,0.5,13.06
"49","Mediterranean","Calluna vulgaris",8,6,15.2615,0.87,2.12,0.410377358490566,17.5419540229885
"50","Mediterranean","Calluna vulgaris",9,6,11.3104,0.7,1.43,0.489510489510489,16.1577142857143
"51","Mediterranean","Cerastium ramosissimum",1,2,7.7031,1.6,10.02,0.159680638722555,4.8144375
"52","Mediterranean","Cerastium ramosissimum",10,2,8.8592,1.54,13.03,0.118188795088258,5.75272727272727
"53","Mediterranean","Cerastium ramosissimum",2,2,4.7841,1.14,7.24,0.157458563535912,4.19657894736842
"54","Mediterranean","Cerastium ramosissimum",3,2,6.5596,1.08,7.43,0.14535666218035,6.0737037037037
"55","Mediterranean","Cerastium ramosissimum",4,2,3.7088,0.44,3.59,0.122562674094708,8.42909090909091
"56","Mediterranean","Cerastium ramosissimum",5,2,5.3891,0.99,6.94,0.142651296829971,5.44353535353535
"57","Mediterranean","Cerastium ramosissimum",6,2,10.9326,1.98,15.15,0.130693069306931,5.52151515151515
"58","Mediterranean","Cerastium ramosissimum",7,2,6.7265,1.19,8.42,0.141330166270784,5.65252100840336
"59","Mediterranean","Cerastium ramosissimum",8,2,8.037,1.39,10.88,0.127757352941176,5.78201438848921
"60","Mediterranean","Cerastium ramosissimum",9,2,5.6153,0.81,5.71,0.141856392294221,6.93246913580247
"61","Mediterranean","Conopodium majus",1,2,78.1878,2.68,15.12,0.177248677248677,29.174552238806
"62","Mediterranean","Conopodium majus",10,2,294.7399,7.9,60.15,0.131338320864505,37.3088481012658
"63","Mediterranean","Conopodium majus",2,2,126.2648,3.29,23.22,0.141688199827735,38.378358662614
"64","Mediterranean","Conopodium majus",3,2,106.9489,3.24,20.7,0.156521739130435,33.0089197530864
"65","Mediterranean","Conopodium majus",4,2,101.5667,3.89,20.57,0.189110354885756,26.1096915167095
"66","Mediterranean","Conopodium majus",5,2,176.0432,4.86,25.26,0.192399049881235,36.2228806584362
"67","Mediterranean","Conopodium majus",6,2,256.5981,8.46,51.72,0.163573085846868,30.3307446808511
"68","Mediterranean","Conopodium majus",7,2,175.8135,5.42,32.36,0.167490729295426,32.4379151291513
"69","Mediterranean","Conopodium majus",8,2,173.0712,5.05,30.43,0.165954650016431,34.2715247524752
"70","Mediterranean","Conopodium majus",9,2,270.6915,10.48,50.5,0.207524752475248,25.8293416030534
"71","Mediterranean","Dianthus langeanus",1,2,27.1807,2.22,5.84,0.38013698630137,12.2435585585586
"72","Mediterranean","Dianthus langeanus",10,2,22.5581,1.75,5.52,0.317028985507246,12.8903428571429
"73","Mediterranean","Dianthus langeanus",2,2,37.1385,2.2,7.69,0.286085825747724,16.8811363636364
"74","Mediterranean","Dianthus langeanus",3,2,45.9725,0.5,10.7,0.0467289719626168,91.945
"75","Mediterranean","Dianthus langeanus",4,2,21.2368,1.37,4.3,0.318604651162791,15.5013138686131
"76","Mediterranean","Dianthus langeanus",5,2,25.2437,2.02,5.84,0.345890410958904,12.4968811881188
"77","Mediterranean","Dianthus langeanus",6,2,18.0218,1.27,4.05,0.31358024691358,14.1903937007874
"78","Mediterranean","Dianthus langeanus",7,2,22.0626,1.5,4.81,0.311850311850312,14.7084
"79","Mediterranean","Dianthus langeanus",8,2,21.9028,1.27,4.63,0.274298056155508,17.2462992125984
"80","Mediterranean","Dianthus langeanus",9,2,23.8758,1.78,5.69,0.312829525483304,13.4133707865169
"81","Mediterranean","Festuca summilusitana",1,2,331.0942,27.7,65.5,0.422900763358779,11.9528592057762
