species,community,site,ind,plant_height,floral_height,
Agrostis schleicheri,Temperate,Los Cazadores,1,9,17,
Agrostis schleicheri,Temperate,Los Cazadores,2,7,14,
Agrostis schleicheri,Temperate,Los Cazadores,3,4,15,
Agrostis schleicheri,Temperate,Los Cazadores,4,7,17,
Agrostis schleicheri,Temperate,Los Cazadores,5,8,12,
Agrostis schleicheri,Temperate,Los Cazadores,6,7,20,
Agrostis schleicheri,Temperate,Los Cazadores,7,3,14,
Agrostis schleicheri,Temperate,Los Cazadores,8,5,18,
Agrostis schleicheri,Temperate,Los Cazadores,9,6,15,
Agrostis schleicheri,Temperate,Los Cazadores,10,10,23,
Agrostis tileni,Mediterranean,Penouta,1,9,16.2,
Agrostis tileni,Mediterranean,Penouta,2,7.2,16.8,
Agrostis tileni,Mediterranean,Penouta,3,6.2,16,
Agrostis tileni,Mediterranean,Penouta,4,9.4,17,
Agrostis tileni,Mediterranean,Penouta,5,10.8,21,
Agrostis tileni,Mediterranean,Penouta,6,12.8,23.8,
Agrostis tileni,Mediterranean,Penouta,7,5.4,10.2,
Agrostis tileni,Mediterranean,Penouta,8,0.8,17.2,
Agrostis tileni,Mediterranean,Penouta,9,6.8,11.4,
Agrostis tileni,Mediterranean,Penouta,10,8.4,16.2,
Agrostis tileni,Mediterranean,Cañada,1,6.2,14.6,
Agrostis tileni,Mediterranean,Cañada,2,11.4,17,
Agrostis tileni,Mediterranean,Cañada,3,8.2,13.2,
Agrostis tileni,Mediterranean,Cañada,4,7,3.8,
Agrostis tileni,Mediterranean,Cañada,5,6.6,6.2,
Agrostis tileni,Mediterranean,Cañada,6,3.8,11.6,
Agrostis tileni,Mediterranean,Cañada,7,5.8,15.6,
Agrostis tileni,Mediterranean,Cañada,8,8.8,19.4,
Agrostis tileni,Mediterranean,Cañada,9,10.2,19.4,
Agrostis tileni,Mediterranean,Cañada,10,6.6,21.2,
Alchemilla catalaunica,Temperate,Hoyo sin Tierra,1,6.4,7.5,
Alchemilla catalaunica,Temperate,Hoyo sin Tierra,2,8,14.2,
Alchemilla catalaunica,Temperate,Hoyo sin Tierra,3,9.2,13,
Alchemilla catalaunica,Temperate,Hoyo sin Tierra,4,2,3.4,
Alchemilla catalaunica,Temperate,Hoyo sin Tierra,5,7.4,9.5,
Alchemilla catalaunica,Temperate,Hoyo sin Tierra,6,4.8,8.1,
Alchemilla catalaunica,Temperate,Hoyo sin Tierra,7,5,8.2,
Alchemilla catalaunica,Temperate,Hoyo sin Tierra,8,3.2,7.9,
Alchemilla catalaunica,Temperate,Hoyo sin Tierra,9,5.2,7.2,
Alchemilla catalaunica,Temperate,Hoyo sin Tierra,10,10.2,12.6,
Alchemilla catalaunica,Temperate,Los Cazadores,1,3.8,3.2,
Alchemilla catalaunica,Temperate,Los Cazadores,2,3.2,6.2,
Alchemilla catalaunica,Temperate,Los Cazadores,3,5.2,,
Alchemilla catalaunica,Temperate,Los Cazadores,4,3.8,7.2,
Alchemilla catalaunica,Temperate,Los Cazadores,5,1.4,2.8,
Alchemilla catalaunica,Temperate,Los Cazadores,6,3.4,4.6,
Alchemilla catalaunica,Temperate,Los Cazadores,7,4.2,7,
Alchemilla catalaunica,Temperate,Los Cazadores,8,6.4,9.2,
Alchemilla catalaunica,Temperate,Los Cazadores,9,2.2,4,
Alchemilla catalaunica,Temperate,Los Cazadores,10,3.5,4.6,
Androsace villosa,Temperate,Hoyo sin Tierra,1,2,3,
Androsace villosa,Temperate,Hoyo sin Tierra,2,2,4.3,
Androsace villosa,Temperate,Hoyo sin Tierra,3,2,3.5,
Androsace villosa,Temperate,Hoyo sin Tierra,4,1.5,2.5,
Androsace villosa,Temperate,Hoyo sin Tierra,5,1.2,2.2,
Androsace villosa,Temperate,Hoyo sin Tierra,6,2.1,3,
Androsace villosa,Temperate,Hoyo sin Tierra,7,0.4,1.2,
Androsace villosa,Temperate,Hoyo sin Tierra,8,0.6,2.5,
Androsace villosa,Temperate,Hoyo sin Tierra,9,1.1,2.2,
Androsace villosa,Temperate,Hoyo sin Tierra,10,1.5,2.5,
Androsace villosa,Temperate,Los Cazadores,1,1,2.2,
Androsace villosa,Temperate,Los Cazadores,2,1.8,2.2,
Androsace villosa,Temperate,Los Cazadores,3,0.4,1.4,
Androsace villosa,Temperate,Los Cazadores,4,0.6,2,
Androsace villosa,Temperate,Los Cazadores,5,1.4,2.4,
Androsace villosa,Temperate,Los Cazadores,6,0.8,1.6,
Androsace villosa,Temperate,Los Cazadores,7,0.8,1.8,
Androsace villosa,Temperate,Los Cazadores,8,1,2.6,
Androsace villosa,Temperate,Los Cazadores,9,0.6,1,
Androsace villosa,Temperate,Los Cazadores,10,2.4,3.9,
Anthyllis vulneraria,Temperate,Hoyo sin Tierra,1,3.5,2.4,
Anthyllis vulneraria,Temperate,Hoyo sin Tierra,2,2.9,5.2,
Anthyllis vulneraria,Temperate,Hoyo sin Tierra,3,4.2,6,
Anthyllis vulneraria,Temperate,Hoyo sin Tierra,4,6,5.4,
Anthyllis vulneraria,Temperate,Hoyo sin Tierra,5,2.5,5.2,
Anthyllis vulneraria,Temperate,Hoyo sin Tierra,6,3,7.6,
Anthyllis vulneraria,Temperate,Hoyo sin Tierra,7,2.7,5,
Anthyllis vulneraria,Temperate,Hoyo sin Tierra,8,3,4.3,
Anthyllis vulneraria,Temperate,Hoyo sin Tierra,9,4.3,45.6,
Anthyllis vulneraria,Temperate,Hoyo sin Tierra,10,2.8,5.2,
Anthyllis vulneraria,Temperate,Los Cazadores,1,0.9,2,
Anthyllis vulneraria,Temperate,Los Cazadores,2,1.5,2.4,
Anthyllis vulneraria,Temperate,Los Cazadores,3,3,3.4,
Anthyllis vulneraria,Temperate,Los Cazadores,4,2,7.2,
Anthyllis vulneraria,Temperate,Los Cazadores,5,1.2,4.2,
Anthyllis vulneraria,Temperate,Los Cazadores,6,1.5,3.4,
Anthyllis vulneraria,Temperate,Los Cazadores,7,5.4,4.5,
Anthyllis vulneraria,Temperate,Los Cazadores,8,0.8,3,
Anthyllis vulneraria,Temperate,Los Cazadores,9,2.8,4.9,
Anthyllis vulneraria,Temperate,Los Cazadores,10,4.8,7,
Arabis alpina,Temperate,Hoyo sin Tierra,1,5.5,10.1,
Arabis alpina,Temperate,Hoyo sin Tierra,2,2.8,7,
Arabis alpina,Temperate,Hoyo sin Tierra,3,2,6.5,
Arabis alpina,Temperate,Hoyo sin Tierra,4,4.5,16,
Arabis alpina,Temperate,Hoyo sin Tierra,5,5.4,14.1,
Arabis alpina,Temperate,Hoyo sin Tierra,6,1.8,8.3,
Arabis alpina,Temperate,Hoyo sin Tierra,7,5.5,14.6,
Arabis alpina,Temperate,Hoyo sin Tierra,8,5.5,10.6,
Arabis alpina,Temperate,Hoyo sin Tierra,9,9,12,
Arabis alpina,Temperate,Hoyo sin Tierra,10,5,9,
Arabis alpina,Temperate,Urriellu,1,3.4,9.4,
Arabis alpina,Temperate,Urriellu,2,1.8,8.2,
Arabis alpina,Temperate,Urriellu,3,3.6,9.3,
Arabis alpina,Temperate,Urriellu,4,3.4,10.4,
Arabis alpina,Temperate,Urriellu,5,1.9,8.8,
Arabis alpina,Temperate,Urriellu,6,4.9,16,
Arabis alpina,Temperate,Urriellu,7,2,5,
Arabis alpina,Temperate,Urriellu,8,8,17,
Arabis alpina,Temperate,Urriellu,9,3.9,13.2,
Arabis alpina,Temperate,Urriellu,10,4.9,9.8,
Arenaria erinacea,Temperate,Hoyo sin Tierra,1,1.9,3,
Arenaria erinacea,Temperate,Hoyo sin Tierra,2,0.9,1.8,
Arenaria erinacea,Temperate,Hoyo sin Tierra,3,0.6,14,
Arenaria erinacea,Temperate,Hoyo sin Tierra,4,1.2,2,
Arenaria erinacea,Temperate,Hoyo sin Tierra,5,1.4,2.3,
Arenaria erinacea,Temperate,Hoyo sin Tierra,6,1,2.3,
Arenaria erinacea,Temperate,Hoyo sin Tierra,7,1.4,2.5,
Arenaria erinacea,Temperate,Hoyo sin Tierra,8,0.9,2.2,
Arenaria erinacea,Temperate,Hoyo sin Tierra,9,2.6,3.3,
Arenaria erinacea,Temperate,Hoyo sin Tierra,10,0.8,1.6,
Arenaria erinacea,Temperate,Hoyo sin Tierra,1,1.2,1.9,
Arenaria erinacea,Temperate,Hoyo sin Tierra,2,1.7,2.3,
Arenaria erinacea,Temperate,Hoyo sin Tierra,3,0.9,1.8,
Arenaria erinacea,Temperate,Hoyo sin Tierra,4,1.6,2.1,
Arenaria erinacea,Temperate,Hoyo sin Tierra,5,0.9,1.5,
Arenaria erinacea,Temperate,Hoyo sin Tierra,6,2.5,3.2,
Arenaria erinacea,Temperate,Hoyo sin Tierra,7,2.9,3.7,
Arenaria erinacea,Temperate,Hoyo sin Tierra,8,0.9,1.3,
Arenaria erinacea,Temperate,Hoyo sin Tierra,9,1,1.8,
Arenaria erinacea,Temperate,Hoyo sin Tierra,10,0.7,1.2,
Arenaria grandiflora,Temperate,Horcados Rojos,1,0.8,1.8,
Arenaria grandiflora,Temperate,Horcados Rojos,2,2.2,1.6,
Arenaria grandiflora,Temperate,Horcados Rojos,3,0.8,1.6,
Arenaria grandiflora,Temperate,Horcados Rojos,4,1.2,2,
Arenaria grandiflora,Temperate,Horcados Rojos,5,1.8,2.4,
Arenaria grandiflora,Temperate,Horcados Rojos,6,2.8,3.2,
Arenaria grandiflora,Temperate,Horcados Rojos,7,2.2,3,
Arenaria grandiflora,Temperate,Horcados Rojos,8,1.8,2.4,
Arenaria grandiflora,Temperate,Horcados Rojos,9,1,2.2,
Arenaria grandiflora,Temperate,Horcados Rojos,10,1,1.8,
Arenaria moehringioides,Temperate,Urriellu,1,2.5,4.1,
Arenaria moehringioides,Temperate,Urriellu,2,2,3.1,
Arenaria moehringioides,Temperate,Urriellu,3,4.6,6.4,
Arenaria moehringioides,Temperate,Urriellu,4,4,6.1,
Arenaria moehringioides,Temperate,Urriellu,5,1.9,3.2,
Arenaria moehringioides,Temperate,Urriellu,6,3.6,5.8,
Arenaria moehringioides,Temperate,Urriellu,7,1.6,2,
Arenaria moehringioides,Temperate,Urriellu,8,1.9,3.4,
Arenaria moehringioides,Temperate,Urriellu,9,2,4.5,
Arenaria moehringioides,Temperate,Urriellu,10,4.8,6.9,
Arenaria moehringioides,Temperate,Los Boches,1,3,3.5,
Arenaria moehringioides,Temperate,Los Boches,2,2.8,4.3,
Arenaria moehringioides,Temperate,Los Boches,3,1.6,2.8,
Arenaria moehringioides,Temperate,Los Boches,4,1.6,2.5,
Arenaria moehringioides,Temperate,Los Boches,5,2,3.8,
Arenaria moehringioides,Temperate,Los Boches,6,1.2,2.5,
Arenaria moehringioides,Temperate,Los Boches,7,1,2.4,
Arenaria moehringioides,Temperate,Los Boches,8,2.4,3.8,
Arenaria moehringioides,Temperate,Los Boches,9,0.5,2.6,
Arenaria moehringioides,Temperate,Los Boches,10,1.9,3.2,
Arenaria purpurascens,Temperate,Hoyo sin Tierra,1,1.8,4,
Arenaria purpurascens,Temperate,Hoyo sin Tierra,2,2.2,4.3,
Arenaria purpurascens,Temperate,Hoyo sin Tierra,3,2.5,3.5,
Arenaria purpurascens,Temperate,Hoyo sin Tierra,4,4,4.6,
Arenaria purpurascens,Temperate,Hoyo sin Tierra,5,2.5,4.5,
Arenaria purpurascens,Temperate,Hoyo sin Tierra,6,2.3,4,
Arenaria purpurascens,Temperate,Hoyo sin Tierra,7,3.2,5,
Arenaria purpurascens,Temperate,Hoyo sin Tierra,8,2.2,3.5,
Arenaria purpurascens,Temperate,Hoyo sin Tierra,9,3.7,5.4,
Arenaria purpurascens,Temperate,Hoyo sin Tierra,10,4.5,5.4,
Arenaria purpurascens,Temperate,Los Cazadores,1,2.8,3.2,
Arenaria purpurascens,Temperate,Los Cazadores,2,2.5,3.6,
Arenaria purpurascens,Temperate,Los Cazadores,3,1.8,2.4,
Arenaria purpurascens,Temperate,Los Cazadores,4,2.4,3,
Arenaria purpurascens,Temperate,Los Cazadores,5,1.4,2.4,
Arenaria purpurascens,Temperate,Los Cazadores,6,1.5,3.5,
Arenaria purpurascens,Temperate,Los Cazadores,7,2.6,3,
Arenaria purpurascens,Temperate,Los Cazadores,8,2,3.5,
Arenaria purpurascens,Temperate,Los Cazadores,9,1.6,2.2,
Arenaria purpurascens,Temperate,Los Cazadores,10,1.8,3.6,
Armeria cantabrica,Temperate,Hoyo sin Tierra,1,2,21.2,
Armeria cantabrica,Temperate,Hoyo sin Tierra,2,2,28.6,
Armeria cantabrica,Temperate,Hoyo sin Tierra,3,3,31.2,
Armeria cantabrica,Temperate,Hoyo sin Tierra,4,2,22.4,
Armeria cantabrica,Temperate,Hoyo sin Tierra,5,5.5,25.6,
Armeria cantabrica,Temperate,Hoyo sin Tierra,6,2,19.5,
Armeria cantabrica,Temperate,Hoyo sin Tierra,7,3.4,19.3,
Armeria cantabrica,Temperate,Hoyo sin Tierra,8,2,18.3,
Armeria cantabrica,Temperate,Hoyo sin Tierra,9,2.2,21,
Armeria cantabrica,Temperate,Hoyo sin Tierra,10,2.3,27.2,
Armeria cantabrica,Temperate,Hou sin Tierri,1,1.5,14,
Armeria cantabrica,Temperate,Hou sin Tierri,2,2,10.3,
Armeria cantabrica,Temperate,Hou sin Tierri,3,1,11.5,
Armeria cantabrica,Temperate,Hou sin Tierri,4,1,8.5,
Armeria cantabrica,Temperate,Hou sin Tierri,5,1.1,11.4,
Armeria cantabrica,Temperate,Hou sin Tierri,6,0.8,11.2,
Armeria cantabrica,Temperate,Hou sin Tierri,7,1.4,13.5,
Armeria cantabrica,Temperate,Hou sin Tierri,8,0.4,17.5,
Armeria cantabrica,Temperate,Hou sin Tierri,9,2,11.1,
Armeria cantabrica,Temperate,Hou sin Tierri,10,2.5,19.1,
Armeria cantabrica,Temperate,Hoyo sin Tierra,1,4.5,33,
Armeria cantabrica,Temperate,Hoyo sin Tierra,2,2.5,21,
Armeria cantabrica,Temperate,Hoyo sin Tierra,3,3,25.5,
Armeria cantabrica,Temperate,Hoyo sin Tierra,4,1,9.5,
Armeria cantabrica,Temperate,Hoyo sin Tierra,5,2.5,27,
Armeria cantabrica,Temperate,Hoyo sin Tierra,6,3,23,
Armeria cantabrica,Temperate,Hoyo sin Tierra,7,3.5,16,
Armeria cantabrica,Temperate,Hoyo sin Tierra,8,2.5,25,
