species,code,treatment,temp,petri,sow_date,initial_pre,cold_strat,D7,D14,D21,D28,D35,D42,empty,fungus
Agrostis tileni,090822-01,A_alternate_light,15_5,1,21/04/2023,25,0,5,11,1,2,1,0,0,1
Agrostis tileni,090822-01,A_alternate_light,15_5,2,21/04/2023,25,0,5,6,5,1,0,0,0,1
Agrostis tileni,090822-01,A_alternate_light,15_5,3,21/04/2023,25,2,5,4,2,1,1,1,1,0
Agrostis tileni,090822-01,A_alternate_light,15_5,4,21/04/2023,25,0,4,7,1,4,0,1,1,0
Agrostis tileni,090822-01,B_alternate_dark,15_5,1,21/04/2023,25,,,,,,,10,1,0
Agrostis tileni,090822-01,B_alternate_dark,15_5,2,21/04/2023,25,,,,,,,11,0,1
Agrostis tileni,090822-01,B_alternate_dark,15_5,3,21/04/2023,25,,,,,,,13,0,1
Agrostis tileni,090822-01,B_alternate_dark,15_5,4,21/04/2023,25,,,,,,,8,1,1
Agrostis tileni,090822-01,C_alternate_WP,15_5,2,21/04/2023,24,0,0,0,2,1,2,1,0,0
Agrostis tileni,090822-01,C_alternate_WP,15_5,3,21/04/2023,25,0,0,0,1,1,3,1,0,3
Agrostis tileni,090822-01,C_alternate_WP,15_5,4,21/04/2023,25,0,0,0,1,0,2,0,0,2
Agrostis tileni,090822-01,C_alternate_WP,15_5,1,21/04/2023,25,1,1,1,1,0,1,1,0,2
Agrostis tileni,090822-01,D_constant_light,10,1,21/04/2023,25,0,1,12,5,2,1,0,0,0
Agrostis tileni,090822-01,D_constant_light,10,2,21/04/2023,25,0,2,13,2,3,0,2,0,0
Agrostis tileni,090822-01,D_constant_light,10,3,21/04/2023,25,1,1,15,4,0,1,0,1,0
Agrostis tileni,090822-01,D_constant_light,10,4,21/04/2023,25,0,2,17,2,0,0,2,0,0
Androsace villosa,310822-01,A_alternate_light,22_12,1,10/04/2023,25,0,0,0,2,1,0,0,1,0
Androsace villosa,310822-01,A_alternate_light,22_12,2,10/04/2023,25,0,0,1,1,0,0,1,0,0
Androsace villosa,310822-01,A_alternate_light,22_12,3,10/04/2023,25,0,0,0,2,2,0,0,0,0
Androsace villosa,310822-01,A_alternate_light,22_12,4,10/04/2023,25,0,1,1,1,0,0,0,0,0
Androsace villosa,310822-01,B_alternate_dark,22_12,1,10/04/2023,25,,,,,,,18,0,0
Androsace villosa,310822-01,B_alternate_dark,22_12,2,10/04/2023,25,,,,,,,18,0,0
Androsace villosa,310822-01,B_alternate_dark,22_12,3,10/04/2023,25,,,,,,,14,1,0
Androsace villosa,310822-01,B_alternate_dark,22_12,4,10/04/2023,25,,,,,,,13,1,1
Androsace villosa,310822-01,C_alternate_WP,22_12,1,10/04/2023,25,1,0,0,0,0,0,0,1,0
Androsace villosa,310822-01,C_alternate_WP,22_12,2,10/04/2023,25,0,0,0,0,0,0,0,0,0
Androsace villosa,310822-01,C_alternate_WP,22_12,3,10/04/2023,25,0,0,0,0,0,0,0,0,0
Androsace villosa,310822-01,C_alternate_WP,22_12,4,10/04/2023,25,0,0,0,0,0,0,0,0,1
Androsace villosa,310822-01,D_constant_light,17,1,10/04/2023,25,0,2,3,3,0,0,0,0,0
Androsace villosa,310822-01,D_constant_light,17,2,10/04/2023,25,0,6,3,0,0,0,0,0,1
Androsace villosa,310822-01,D_constant_light,17,3,10/04/2023,25,0,6,1,0,0,0,0,0,0
Androsace villosa,310822-01,D_constant_light,17,4,10/04/2023,25,0,6,4,0,0,0,0,0,1
Anthyllis vulneraria,120722-02,A_alternate_light,15_5,1,10/04/2023,24,18,0,1,1,0,1,0,0,0
Anthyllis vulneraria,120722-02,A_alternate_light,15_5,2,10/04/2023,25,11,1,1,2,0,0,0,0,4
Anthyllis vulneraria,120722-02,A_alternate_light,15_5,3,10/04/2023,25,17,0,0,0,0,0,0,0,1
Anthyllis vulneraria,120722-02,A_alternate_light,15_5,4,10/04/2023,25,12,2,0,0,0,0,0,2,1
Anthyllis vulneraria,120722-02,B_alternate_dark,15_5,1,10/04/2023,25,,,,,,,16,0,0
Anthyllis vulneraria,120722-02,B_alternate_dark,15_5,2,10/04/2023,25,,,,,,,12,0,3
Anthyllis vulneraria,120722-02,B_alternate_dark,15_5,3,10/04/2023,25,,,,,,,16,0,0
Anthyllis vulneraria,120722-02,B_alternate_dark,15_5,4,10/04/2023,25,,,,,,,11,0,0
Anthyllis vulneraria,120722-02,C_alternate_WP,15_5,1,10/04/2023,25,10,0,0,1,0,0,1,2,0
Anthyllis vulneraria,120722-02,C_alternate_WP,15_5,2,10/04/2023,24,19,1,1,0,0,1,0,2,0
Anthyllis vulneraria,120722-02,C_alternate_WP,15_5,3,10/04/2023,25,14,0,0,0,0,0,0,0,0
Anthyllis vulneraria,120722-02,C_alternate_WP,15_5,4,10/04/2023,24,13,0,1,1,1,0,0,2,0
Anthyllis vulneraria,120722-02,D_constant_light,10,1,10/04/2023,25,15,0,1,0,0,0,1,0,0
Anthyllis vulneraria,120722-02,D_constant_light,10,2,10/04/2023,25,17,1,0,0,1,0,0,0,0
Anthyllis vulneraria,120722-02,D_constant_light,10,3,10/04/2023,25,17,0,1,0,0,0,0,0,0
Anthyllis vulneraria,120722-02,D_constant_light,10,4,10/04/2023,25,14,1,0,0,0,1,0,0,1
Arenaria erinacea,300821-08,A_alternate_light,22_12,1,11/04/2023,24,0,0,0,0,0,1,0,0,1
Arenaria erinacea,300821-08,A_alternate_light,22_12,2,11/04/2023,24,0,0,0,0,1,0,0,0,2
Arenaria erinacea,300821-08,A_alternate_light,22_12,3,11/04/2023,25,0,0,0,0,1,1,2,0,0
Arenaria erinacea,300821-08,A_alternate_light,22_12,4,11/04/2023,25,0,0,1,1,0,2,0,0,0
Arenaria erinacea,300821-08,B_alternate_dark,22_12,1,11/04/2023,25,,,,,,,2,2,5
Arenaria erinacea,300821-08,B_alternate_dark,22_12,2,11/04/2023,25,,,,,,,6,0,0
Arenaria erinacea,300821-08,B_alternate_dark,22_12,3,11/04/2023,25,,,,,,,8,3,0
Arenaria erinacea,300821-08,B_alternate_dark,22_12,4,11/04/2023,25,,,,,,,7,1,1
Arenaria erinacea,300821-08,C_alternate_WP,22_12,1,11/04/2023,25,0,0,0,0,0,0,0,0,2
Arenaria erinacea,300821-08,C_alternate_WP,22_12,2,11/04/2023,25,0,0,0,0,0,0,0,1,1
Arenaria erinacea,300821-08,C_alternate_WP,22_12,3,11/04/2023,24,0,0,0,0,0,0,0,1,0
Arenaria erinacea,300821-08,C_alternate_WP,22_12,4,11/04/2023,25,0,0,0,0,0,0,0,1,1
Arenaria erinacea,300821-08,D_constant_light,17,1,11/04/2023,24,1,0,0,0,0,0,0,0,1
Arenaria erinacea,300821-08,D_constant_light,17,2,11/04/2023,25,0,0,0,0,0,0,0,1,0
Arenaria erinacea,300821-08,D_constant_light,17,3,11/04/2023,25,2,0,2,0,0,0,0,1,0
Arenaria erinacea,300821-08,D_constant_light,17,4,11/04/2023,25,0,0,2,1,0,0,0,2,1
Armeria cantabrica,230822-01,A_alternate_light,22_12,1,13/04/2023,25,0,4,4,3,1,0,1,5,1
Armeria cantabrica,230822-01,A_alternate_light,22_12,2,13/04/2023,25,0,6,7,1,1,0,0,4,2
Armeria cantabrica,230822-01,A_alternate_light,22_12,3,13/04/2023,23,0,5,9,2,1,0,0,0,0
Armeria cantabrica,230822-01,A_alternate_light,22_12,4,13/04/2023,25,0,0,9,3,0,1,2,4,2
Armeria cantabrica,230822-01,B_alternate_dark,22_12,1,13/04/2023,25,,,,,,,13,4,2
Armeria cantabrica,230822-01,B_alternate_dark,22_12,2,13/04/2023,25,,,,,,,14,3,1
Armeria cantabrica,230822-01,B_alternate_dark,22_12,3,13/04/2023,25,,,,,,,15,8,0
Armeria cantabrica,230822-01,B_alternate_dark,22_12,4,13/04/2023,25,,,,,,,16,3,0
Armeria cantabrica,230822-01,C_alternate_WP,22_12,1,13/04/2023,25,0,0,0,0,0,1,0,6,2
Armeria cantabrica,230822-01,C_alternate_WP,22_12,2,13/04/2023,25,0,0,0,0,0,0,0,10,0
Armeria cantabrica,230822-01,C_alternate_WP,22_12,3,13/04/2023,25,0,0,0,0,0,0,0,8,4
Armeria cantabrica,230822-01,C_alternate_WP,22_12,4,13/04/2023,25,0,0,1,0,0,0,0,6,1
Armeria cantabrica,230822-01,D_constant_light,17,1,13/04/2023,25,0,4,11,1,0,1,0,3,2
Armeria cantabrica,230822-01,D_constant_light,17,2,13/04/2023,24,0,8,4,1,0,1,0,4,2
Armeria cantabrica,230822-01,D_constant_light,17,3,13/04/2023,25,0,9,6,1,2,0,0,2,3
Armeria cantabrica,230822-01,D_constant_light,17,4,13/04/2023,25,0,16,4,0,0,0,0,4,0
Armeria duriaei,040822-02,A_alternate_light,22_12,1,13/04/2023,25,0,0,0,0,0,0,1,0,1
Armeria duriaei,040822-02,A_alternate_light,22_12,2,13/04/2023,25,0,0,0,0,0,0,2,0,0
Armeria duriaei,040822-02,A_alternate_light,22_12,3,13/04/2023,25,0,0,0,0,0,0,1,0,1
Armeria duriaei,040822-02,A_alternate_light,22_12,4,13/04/2023,25,0,0,0,0,2,0,1,0,0
Armeria duriaei,040822-02,B_alternate_dark,22_12,1,13/04/2023,25,,,,,,,0,0,0
Armeria duriaei,040822-02,B_alternate_dark,22_12,2,13/04/2023,25,,,,,,,0,0,0
Armeria duriaei,040822-02,B_alternate_dark,22_12,3,13/04/2023,25,,,,,,,0,2,0
Armeria duriaei,040822-02,B_alternate_dark,22_12,4,13/04/2023,25,,,,,,,0,0,1
Armeria duriaei,040822-02,C_alternate_WP,22_12,1,13/04/2023,25,0,0,0,0,0,0,0,0,0
Armeria duriaei,040822-02,C_alternate_WP,22_12,2,13/04/2023,25,0,0,0,0,0,0,0,0,0
Armeria duriaei,040822-02,C_alternate_WP,22_12,3,13/04/2023,25,0,0,0,0,0,0,0,0,0
Armeria duriaei,040822-02,C_alternate_WP,22_12,4,13/04/2023,25,0,0,0,0,0,0,0,0,1
Armeria duriaei,040822-02,D_constant_light,17,1,13/04/2023,25,0,3,0,0,2,6,2,1,0
Armeria duriaei,040822-02,D_constant_light,17,2,13/04/2023,25,0,1,0,1,0,3,7,0,0
Armeria duriaei,040822-02,D_constant_light,17,3,13/04/2023,25,0,5,1,3,1,2,4,0,0
Armeria duriaei,040822-02,D_constant_light,17,4,13/04/2023,25,0,2,1,1,1,4,9,1,0
Avenella flexuosa,110822-03,A_alternate_light,22_12,1,21/04/2023,20,11,0,0,0,0,0,0,0,9
Avenella flexuosa,110822-03,A_alternate_light,22_12,2,21/04/2023,20,17,0,0,0,0,0,0,0,2
Avenella flexuosa,110822-03,A_alternate_light,22_12,3,21/04/2023,20,16,0,0,0,0,0,0,0,1
Avenella flexuosa,110822-03,B_alternate_dark,22_12,1,21/04/2023,20,,,,,,,13,0,4
Avenella flexuosa,110822-03,B_alternate_dark,22_12,2,21/04/2023,20,,,,,,,15,0,4
Avenella flexuosa,110822-03,B_alternate_dark,22_12,3,21/04/2023,20,,,,,,,14,3,2
Avenella flexuosa,110822-03,C_alternate_WP,22_12,1,21/04/2023,20,17,0,0,0,0,0,0,0,0
Avenella flexuosa,110822-03,C_alternate_WP,22_12,2,21/04/2023,20,20,,,,,,,0,0
Avenella flexuosa,110822-03,C_alternate_WP,22_12,3,21/04/2023,20,15,0,0,0,0,0,0,0,5
Avenella flexuosa,110822-03,D_constant_light,17,1,21/04/2023,20,13,0,0,0,0,0,0,3,3
Avenella flexuosa,110822-03,D_constant_light,17,2,21/04/2023,20,14,0,0,0,0,0,0,1,4
Avenella flexuosa,110822-03,D_constant_light,17,3,21/04/2023,18,14,0,0,0,0,0,0,0,4
Carex sempervirens,190822-08,A_alternate_light,22_12,1,13/04/2023,25,0,0,7,11,3,1,0,1,0
Carex sempervirens,190822-08,A_alternate_light,22_12,2,13/04/2023,25,0,0,14,5,1,1,0,0,0
Carex sempervirens,190822-08,A_alternate_light,22_12,3,13/04/2023,25,0,0,13,4,3,1,0,0,1
Carex sempervirens,190822-08,A_alternate_light,22_12,4,13/04/2023,25,0,0,8,13,0,0,0,0,1
Carex sempervirens,190822-08,B_alternate_dark,22_12,1,13/04/2023,25,,,,,,,2,1,0
Carex sempervirens,190822-08,B_alternate_dark,22_12,2,13/04/2023,25,,,,,,,5,0,1
Carex sempervirens,190822-08,B_alternate_dark,22_12,3,13/04/2023,25,,,,,,,10,2,0
Carex sempervirens,190822-08,B_alternate_dark,22_12,4,13/04/2023,25,,,,,,,8,0,1
Carex sempervirens,190822-08,C_alternate_WP,22_12,1,13/04/2023,25,0,0,0,0,0,0,0,1,2
Carex sempervirens,190822-08,C_alternate_WP,22_12,2,13/04/2023,25,0,0,0,0,0,0,0,2,1
Carex sempervirens,190822-08,C_alternate_WP,22_12,3,13/04/2023,25,0,0,0,0,0,0,1,2,4
Carex sempervirens,190822-08,C_alternate_WP,22_12,4,13/04/2023,25,0,0,0,0,1,0,0,2,1
Carex sempervirens,190822-08,D_constant_light,17,1,13/04/2023,25,0,0,12,4,1,0,0,3,1
Carex sempervirens,190822-08,D_constant_light,17,2,13/04/2023,25,0,0,10,8,2,0,0,0,2
Carex sempervirens,190822-08,D_constant_light,17,3,13/04/2023,25,0,0,12,3,3,0,0,2,1
Carex sempervirens,190822-08,D_constant_light,17,4,13/04/2023,25,0,0,8,4,2,4,0,0,2
Cerastium ramosissimum,280721-02,A_alternate_light,22_12,1,13/04/2023,24,4,0,0,0,0,0,0,1,0
Cerastium ramosissimum,280721-02,A_alternate_light,22_12,2,13/04/2023,25,4,0,0,0,0,0,0,1,0
Cerastium ramosissimum,280721-02,A_alternate_light,22_12,3,13/04/2023,24,6,0,0,0,0,0,0,1,0
Cerastium ramosissimum,280721-02,A_alternate_light,22_12,4,13/04/2023,23,4,0,0,0,0,0,0,4,0
Cerastium ramosissimum,280721-02,B_alternate_dark,22_12,1,13/04/2023,25,,,,,,,3,3,2
Cerastium ramosissimum,280721-02,B_alternate_dark,22_12,2,13/04/2023,25,,,,,,,7,3,0
Cerastium ramosissimum,280721-02,B_alternate_dark,22_12,3,13/04/2023,25,,,,,,,2,7,0
Cerastium ramosissimum,280721-02,B_alternate_dark,22_12,4,13/04/2023,25,,,,,,,3,3,1
Cerastium ramosissimum,280721-02,C_alternate_WP,22_12,1,13/04/2023,24,3,0,0,0,0,0,0,3,0
Cerastium ramosissimum,280721-02,C_alternate_WP,22_12,2,13/04/2023,25,4,0,0,0,0,0,0,3,1
Cerastium ramosissimum,280721-02,C_alternate_WP,22_12,3,13/04/2023,24,6,0,0,0,0,0,0,1,2
Cerastium ramosissimum,280721-02,C_alternate_WP,22_12,4,13/04/2023,25,3,0,0,0,0,0,0,2,1
Cerastium ramosissimum,280721-02,D_constant_light,17,1,13/04/2023,24,7,0,0,0,0,0,0,1,0
Cerastium ramosissimum,280721-02,D_constant_light,17,2,13/04/2023,24,5,0,0,0,0,0,0,2,0
Cerastium ramosissimum,280721-02,D_constant_light,17,3,13/04/2023,25,2,0,0,0,0,0,0,4,0
Cerastium ramosissimum,280721-02,D_constant_light,17,4,13/04/2023,25,5,0,0,0,0,0,0,1,0
Conopodium majus,250821-04,A_alternate_light,15_5,1,10/04/2023,25,13,0,0,0,0,0,0,3,3
Conopodium majus,250821-04,A_alternate_light,15_5,2,10/04/2023,25,14,1,0,0,0,0,0,1,0
Conopodium majus,250821-04,A_alternate_light,15_5,3,10/04/2023,25,13,0,0,0,0,0,0,1,2
Conopodium majus,250821-04,A_alternate_light,15_5,4,10/04/2023,25,12,0,0,0,0,0,0,3,4
Conopodium majus,250821-04,B_alternate_dark,15_5,1,10/04/2023,25,,,,,,,14,0,1
Conopodium majus,250821-04,B_alternate_dark,15_5,2,10/04/2023,25,,,,,,,10,1,0
Conopodium majus,250821-04,B_alternate_dark,15_5,3,10/04/2023,25,,,,,,,8,0,1
Conopodium majus,250821-04,B_alternate_dark,15_5,4,10/04/2023,25,,,,,,,13,0,0
Conopodium majus,250821-04,C_alternate_WP,15_5,1,10/04/2023,24,15,0,0,0,0,0,0,2,0
Conopodium majus,250821-04,C_alternate_WP,15_5,2,10/04/2023,25,17,0,0,0,0,0,0,2,2
Conopodium majus,250821-04,C_alternate_WP,15_5,3,10/04/2023,24,15,0,0,0,0,0,0,0,1
Conopodium majus,250821-04,C_alternate_WP,15_5,4,10/04/2023,25,11,0,0,0,0,0,0,2,0
Conopodium majus,250821-04,D_constant_light,10,1,10/04/2023,25,18,1,0,1,0,0,0,2,0
Conopodium majus,250821-04,D_constant_light,10,2,10/04/2023,25,20,1,1,0,0,0,0,0,1
Conopodium majus,250821-04,D_constant_light,10,3,10/04/2023,25,13,0,0,0,0,0,0,3,3
Conopodium majus,250821-04,D_constant_light,10,4,10/04/2023,25,14,1,0,0,0,1,0,1,1
Dianthus langeanus,040822-01,A_alternate_light,22_12,1,12/04/2023,25,8,17,,,,,,0,0
Dianthus langeanus,040822-01,A_alternate_light,22_12,2,12/04/2023,25,4,21,,,,,,0,0
Dianthus langeanus,040822-01,A_alternate_light,22_12,3,12/04/2023,25,7,18,,,,,,0,0
Dianthus langeanus,040822-01,A_alternate_light,22_12,4,12/04/2023,25,6,19,,,,,,0,0
Dianthus langeanus,040822-01,B_alternate_dark,22_12,1,12/04/2023,25,,,,,,,25,0,0
Dianthus langeanus,040822-01,B_alternate_dark,22_12,2,12/04/2023,25,,,,,,,24,0,0
Dianthus langeanus,040822-01,B_alternate_dark,22_12,3,12/04/2023,25,,,,,,,23,0,0
Dianthus langeanus,040822-01,B_alternate_dark,22_12,4,12/04/2023,25,,,,,,,24,0,0
Dianthus langeanus,040822-01,C_alternate_WP,22_12,1,12/04/2023,25,7,8,3,0,1,0,0,0,0
Dianthus langeanus,040822-01,C_alternate_WP,22_12,2,12/04/2023,25,9,10,0,0,0,0,0,0,0
Dianthus langeanus,040822-01,C_alternate_WP,22_12,3,12/04/2023,25,9,14,0,0,0,0,0,0,0
Dianthus langeanus,040822-01,C_alternate_WP,22_12,4,12/04/2023,25,4,18,1,0,0,0,0,0,1
Dianthus langeanus,040822-01,D_constant_light,17,1,12/04/2023,25,8,17,,,,,,0,0
Dianthus langeanus,040822-01,D_constant_light,17,2,12/04/2023,25,9,15,0,0,0,0,0,0,0
