species,community,site,code,weight_50_mg
Agrostis tileni,Mediterranean,Solana,090822-01,4.49
Agrostis tileni,Mediterranean,Solana,090822-01,4.29
Agrostis tileni,Mediterranean,Solana,090822-01,4.24
Agrostis tileni,Mediterranean,Solana,090822-01,4.38
Agrostis tileni,Mediterranean,Solana,090822-01,4.68
Agrostis tileni,Mediterranean,Solana,090822-01,4.39
Agrostis tileni,Mediterranean,Solana,090822-01,4.63
Agrostis tileni,Mediterranean,Solana,090822-01,4.54
Agrostis tileni,Mediterranean,Solana,090822-01,4.27
Agrostis tileni,Mediterranean,Solana,090822-01,4.45
Armeria duriaei,Mediterranean,Rabinalto,240821-01,67.15
Armeria duriaei,Mediterranean,Rabinalto,240821-01,71.78
Armeria duriaei,Mediterranean,Rabinalto,240821-01,73.3
Armeria duriaei,Mediterranean,Rabinalto,240821-01,70.82
Armeria duriaei,Mediterranean,Rabinalto,240821-01,75.93
Armeria duriaei,Mediterranean,Penauta,250821-01,74
Armeria duriaei,Mediterranean,Penauta,250821-01,82
Armeria duriaei,Mediterranean,Penauta,250821-01,83
Armeria duriaei,Mediterranean,Penauta,250821-01,80
Armeria duriaei,Mediterranean,Penauta,250821-01,79
Avenella flexuosa,Mediterranean,Solana,040822-11,49
Avenella flexuosa,Mediterranean,Solana,040822-11,53
Avenella flexuosa,Mediterranean,Solana,040822-11,47
Avenella flexuosa,Mediterranean,Cañada,110822-03,46
Avenella flexuosa,Mediterranean,Cañada,110822-03,49
Avenella flexuosa,Mediterranean,Cañada,110822-03,51
Avenella flexuosa,Mediterranean,Cañada,110822-03,50
Avenella flexuosa,Mediterranean,Penauta,070823-05,21.88
Avenella flexuosa,Mediterranean,Penauta,070823-05,25.43
Avenella flexuosa,Mediterranean,Penauta,070823-05,25.69
Cerastium ramossissimum,Mediterranean,Cañada,150721-05,7.11
Cerastium ramossissimum,Mediterranean,Cañada,150721-05,7.35
Cerastium ramossissimum,Mediterranean,Cañada,150721-05,7.21
Cerastium ramossissimum,Mediterranean,Cañada,150721-05,6.63
Cerastium ramossissimum,Mediterranean,Cañada,150721-05,7.08
Cerastium ramossissimum,Mediterranean,Rabinalto,280721-02,6.08
Cerastium ramossissimum,Mediterranean,Rabinalto,280721-02,6.21
Cerastium ramossissimum,Mediterranean,Rabinalto,280721-02,6.03
