Plot,Site,Aspect,Latitude,Longitude,Elevation,Start,End,Soil,Rock,Vasculars,NonVasculars
A00,Rabinalto,central,42.89682,-6.110191,2109.32,05/07/2021,30/05/2022,10,15,70,5
A01,Rabinalto,S,42.896724,-6.110208,2107.8,05/07/2021,30/05/2022,5,40,55,0
A02,Rabinalto,S,42.896643,-6.110207,2105.92,05/07/2021,30/05/2022,30,30,40,0
A03,Rabinalto,S,42.896561,-6.110209,2101.58,05/07/2021,30/05/2022,44,55,1,0
A04,Rabinalto,S,42.896472,-6.110212,2098.24,05/07/2021,30/05/2022,20,77,3,0
A05,Rabinalto,S,42.896386,-6.110235,2096.15,05/07/2021,30/05/2022,5,3,92,0
A06,Rabinalto,N,42.896889,-6.110183,2106.67,05/07/2021,30/05/2022,1,15,75,9
A07,Rabinalto,N,42.896943,-6.11017,2100.4,05/07/2021,30/05/2022,10,3,82,5
A08,Rabinalto,N,42.897006,-6.110155,2095.11,05/07/2021,30/05/2022,1,5,54,40
A09,Rabinalto,N,42.897094,-6.110132,2092.44,05/07/2021,30/05/2022,0,0,100,0
A10,Rabinalto,N,42.89713,-6.110238,2089.72,05/07/2021,30/05/2022,0,0,100,0
A11,Rabinalto,E,42.896819,-6.110075,2105.72,05/07/2021,30/05/2022,5,10,80,5
A12,Rabinalto,E,42.896813,-6.109969,2101.43,05/07/2021,30/05/2022,2,80,3,15
A13,Rabinalto,E,42.896814,-6.109863,2096.59,05/07/2021,30/05/2022,1,5,93,1
A14,Rabinalto,E,42.896807,-6.109761,2091.61,05/07/2021,30/05/2022,20,15,62,3
A15,Rabinalto,E,42.896798,-6.109651,2087.15,05/07/2021,30/05/2022,35,35,30,0
A16,Rabinalto,W,42.896817,-6.110309,2107,05/07/2021,30/05/2022,0,15,80,5
A17,Rabinalto,W,42.896818,-6.110413,2107.25,05/07/2021,30/05/2022,0,3,85,12
A18,Rabinalto,W,42.896816,-6.11051,2102.64,05/07/2021,30/05/2022,5,45,45,5
A19,Rabinalto,W,42.896818,-6.110613,2100.27,05/07/2021,30/05/2022,0,15,75,10
A20,Rabinalto,W,42.896765,-6.110675,2103.1,05/07/2021,30/05/2022,0,1,49,50
B00,Cañada,central,NA,NA,NA,05/07/2021,30/05/2022,5,20,74,1
B01,Cañada,S,42.892249,-6.103267,2153.72,05/07/2021,30/05/2022,10,1,3,86
B02,Cañada,S,42.892163,-6.10329,2151.46,05/07/2021,30/05/2022,25,20,54,1
B03,Cañada,S,42.892081,-6.103295,2149.37,05/07/2021,30/05/2022,1,80,19,0
B04,Cañada,S,42.892007,-6.103329,2141.89,05/07/2021,30/05/2022,1,89,10,0
B05,Cañada,S,42.89193,-6.103351,2138.81,05/07/2021,30/05/2022,30,50,20,0
B06,Cañada,N,42.892424,-6.103244,2152.59,05/07/2021,30/05/2022,5,1,93,1
B07,Cañada,N,42.892512,-6.103244,2151.9,05/07/2021,30/05/2022,3,10,82,5
B08,Cañada,N,42.892602,-6.103241,2152.89,05/07/2021,30/05/2022,5,25,69,1
B09,Cañada,N,42.892682,-6.103233,2149.15,05/07/2021,30/05/2022,0,0,85,15
B10,Cañada,N,42.892758,-6.103245,2144,05/07/2021,30/05/2022,0,15,80,5
B11,Cañada,E,42.892336,-6.103131,2156.33,05/07/2021,30/05/2022,5,0,94,1
B12,Cañada,E,42.892332,-6.103013,2156.71,05/07/2021,30/05/2022,40,1,59,0
B13,Cañada,E,42.892326,-6.102895,2154.88,05/07/2021,30/05/2022,5,15,79,1
B14,Cañada,E,42.892339,-6.102804,2150.16,05/07/2021,30/05/2022,0,99,1,0
B15,Cañada,E,42.892369,-6.102715,2145.01,05/07/2021,30/05/2022,39,69,1,0
B16,Cañada,W,42.892339,-6.103364,2151.44,05/07/2021,30/05/2022,15,5,79,1
B17,Cañada,W,42.892339,-6.103479,2149.35,05/07/2021,30/05/2022,25,10,64,1
B18,Cañada,W,42.892343,-6.103591,2146.43,05/07/2021,30/05/2022,5,20,74,1
B19,Cañada,W,42.892346,-6.103705,2143.53,05/07/2021,30/05/2022,30,10,60,0
B20,Cañada,W,42.892356,-6.103823,2139.71,05/07/2021,30/05/2022,15,5,65,10
C00,Solana,central,NA,NA,NA,29/06/2022,31/05/2022,20,15,60,5
C01,Solana,S,42.8996582,-6.0752518,2120.13,29/06/2021,31/05/2022,50,5,40,5
C02,Solana,S,42.8995496,-6.0752709,2118.48,29/06/2021,31/05/2022,5,55,40,0
C03,Solana,S,42.8994947,-6.0752863,2115.44,29/06/2021,31/05/2022,5,75,20,0
C04,Solana,S,42.8994065,-6.0752741,2110.89,29/06/2021,31/05/2022,5,5,90,0
C05,Solana,S,42.8993142,-6.0752731,2107.48,29/06/2021,31/05/2022,30,10,60,0
C06,Solana,N,42.8998055,-6.0751708,2121.94,29/06/2021,31/05/2022,5,5,80,10
C07,Solana,N,42.8999161,-6.0752081,2121.85,29/06/2021,31/05/2022,25,50,25,0
C08,Solana,N,42.900011,-6.0752577,2118.27,29/06/2021,31/05/2022,10,5,80,5
C09,Solana,N,42.9000869,-6.0753099,2115.67,29/06/2021,31/05/2022,5,10,80,5
C10,Solana,N,42.900173,-6.075322,2114.56,29/06/2021,31/05/2022,5,0,95,0
C11,Solana,E,42.899735,-6.075098,2119.79,29/06/2021,31/05/2022,60,5,35,0
C12,Solana,E,42.899733,-6.074981,2117.26,29/06/2021,31/05/2022,35,35,30,0
C13,Solana,E,42.899736,-6.074863,2114.37,29/06/2021,31/05/2022,40,40,20,0
C14,Solana,E,42.899739,-6.074754,2111.39,29/06/2021,31/05/2022,10,45,45,0
C15,Solana,E,42.899744,-6.074641,2108.47,29/06/2021,31/05/2022,5,3,92,0
C16,Solana,W,42.899732,-6.075333,2120.47,29/06/2021,31/05/2022,5,0,90,5
C17,Solana,W,42.899725,-6.075449,2117.78,29/06/2021,31/05/2022,3,10,20,67
C18,Solana,W,42.899727,-6.075563,2113.97,29/06/2021,31/05/2022,5,5,85,5
C19,Solana,W,42.899743,-6.075671,2109.53,29/06/2021,31/05/2022,5,15,75,5
C20,Solana,W,42.89975,-6.075789,2104.9,29/06/2021,31/05/2022,10,5,75,10
D00,Penouta,central,42.906362,-6.061585,2103.02,29/06/2021,31/05/2022,20,5,65,10
D01,Penouta,S,42.906273,-6.061594,2101.48,29/06/2021,31/05/2022,5,20,70,5
D02,Penouta,S,42.906195,-6.061604,2097.68,29/06/2021,31/05/2022,5,50,3,42
