plot,taxon,species,cover
A19,Agrostis schleicheri,Agrostis schleicheri,0.1
D12,Alchemilla catalaunica,Alchemilla catalaunica,5
A01,Alchemilla catalaunica,Alchemilla catalaunica,1
A05,Alchemilla catalaunica,Alchemilla catalaunica,1
A18,Alchemilla catalaunica,Alchemilla catalaunica,1
A10,Alchemilla catalaunica,Alchemilla catalaunica,20
D18,Alchemilla catalaunica,Alchemilla catalaunica,0.1
B02,Alchemilla catalaunica,Alchemilla catalaunica,5
A13,Alchemilla catalaunica,Alchemilla catalaunica,1
A16,Alchemilla catalaunica,Alchemilla catalaunica,1
D10,Alchemilla catalaunica,Alchemilla catalaunica,10
D03,Androsace villosa,Androsace villosa,1
D05,Androsace villosa,Androsace villosa,5
B01,Androsace villosa,Androsace villosa,5
A10,Androsace villosa,Androsace villosa,1
A07,Androsace villosa,Androsace villosa,0.1
B02,Androsace villosa,Androsace villosa,0.1
B07,Androsace villosa,Androsace villosa,1
B08,Androsace villosa,Androsace villosa,5
A16,Androsace villosa,Androsace villosa,10
D01,Androsace villosa,Androsace villosa,0.1
A05,Androsace villosa,Androsace villosa,1
A04,Androsace villosa,Androsace villosa,5
B09,Androsace villosa,Androsace villosa,1
D16,Androsace villosa,Androsace villosa,0.1
D11,Androsace villosa,Androsace villosa,5
A01,Androsace villosa,Androsace villosa,5
A06,Androsace villosa,Androsace villosa,1
A11,Androsace villosa,Androsace villosa,1
A09,Androsace villosa,Androsace villosa,0.1
C04,Androsace villosa,Androsace villosa,0.1
D02,Androsace villosa,Androsace villosa,1
B11,Androsace villosa,Androsace villosa,5
A13,Androsace villosa,Androsace villosa,5
D04,Androsace villosa,Androsace villosa,1
A17,Androsace villosa,Androsace villosa,5
A18,Androsace villosa,Androsace villosa,1
B06,Androsace villosa,Androsace villosa,1
B15,Androsace villosa,Androsace villosa,1
A04,Anemone pavoniana,Anemone pavoniana,1
D08,Anthyllis vulneraria,Anthyllis vulneraria,0.1
D20,Anthyllis vulneraria,Anthyllis vulneraria,0.1
C02,Anthyllis vulneraria,Anthyllis vulneraria,10
C05,Anthyllis vulneraria,Anthyllis vulneraria,30
B08,Anthyllis vulneraria,Anthyllis vulneraria,1
A01,Anthyllis vulneraria,Anthyllis vulneraria,1
A20,Anthyllis vulneraria,Anthyllis vulneraria,1
A07,Anthyllis vulneraria,Anthyllis vulneraria,1
B02,Anthyllis vulneraria,Anthyllis vulneraria,10
A19,Anthyllis vulneraria,Anthyllis vulneraria,1
B11,Anthyllis vulneraria,Anthyllis vulneraria,1
A04,Anthyllis vulneraria,Anthyllis vulneraria,5
C11,Anthyllis vulneraria,Anthyllis vulneraria,0.1
D16,Anthyllis vulneraria,Anthyllis vulneraria,0.1
B03,Anthyllis vulneraria,Anthyllis vulneraria,20
D06,Anthyllis vulneraria,Anthyllis vulneraria,0.1
C07,Anthyllis vulneraria,Anthyllis vulneraria,20
A11,Anthyllis vulneraria,Anthyllis vulneraria,1
D10,Anthyllis vulneraria,Anthyllis vulneraria,0.1
B13,Anthyllis vulneraria,Anthyllis vulneraria,1
B17,Anthyllis vulneraria,Anthyllis vulneraria,1
A16,Anthyllis vulneraria,Anthyllis vulneraria,0.1
C17,Anthyllis vulneraria,Anthyllis vulneraria,10
A06,Anthyllis vulneraria,Anthyllis vulneraria,0.1
D05,Anthyllis vulneraria,Anthyllis vulneraria,0.1
C08,Anthyllis vulneraria,Anthyllis vulneraria,10
B14,Anthyllis vulneraria,Anthyllis vulneraria,0.1
A10,Anthyllis vulneraria,Anthyllis vulneraria,0.1
B07,Anthyllis vulneraria,Anthyllis vulneraria,5
A13,Anthyllis vulneraria,Anthyllis vulneraria,5
B12,Anthyllis vulneraria,Anthyllis vulneraria,5
D11,Anthyllis vulneraria,Anthyllis vulneraria,1
B15,Anthyllis vulneraria,Anthyllis vulneraria,1
D18,Anthyllis vulneraria,Anthyllis vulneraria,1
C06,Anthyllis vulneraria,Anthyllis vulneraria,5
C18,Anthyllis vulneraria,Anthyllis vulneraria,1
C19,Anthyllis vulneraria,Anthyllis vulneraria,1
A05,Anthyllis vulneraria,Anthyllis vulneraria,1
C03,Anthyllis vulneraria,Anthyllis vulneraria,1
D02,Anthyllis vulneraria,Anthyllis vulneraria,1
C13,Anthyllis vulneraria,Anthyllis vulneraria,5
B16,Anthyllis vulneraria,Anthyllis vulneraria,5
A17,Anthyllis vulneraria,Anthyllis vulneraria,0.1
B04,Anthyllis vulneraria,Anthyllis vulneraria,1
D01,Anthyllis vulneraria,Anthyllis vulneraria,1
B09,Anthyllis vulneraria,Anthyllis vulneraria,10
C16,Anthyllis vulneraria,Anthyllis vulneraria,15
