plot,Time,Temperature
A01,12/07/2021 0:31,16
A01,12/07/2021 4:31,13
A01,12/07/2021 8:31,10.5
A01,12/07/2021 12:31,12.5
A01,12/07/2021 16:31,12.5
A01,12/07/2021 20:31,9.5
A01,13/07/2021 0:31,7.5
A01,13/07/2021 4:31,6.5
A01,13/07/2021 8:31,6.5
A01,13/07/2021 12:31,19
A01,13/07/2021 16:31,23.5
A01,13/07/2021 20:31,15.5
A01,14/07/2021 0:31,11.5
A01,14/07/2021 4:31,9
A01,14/07/2021 8:31,8.5
A01,14/07/2021 12:31,21.5
A01,14/07/2021 16:31,27.5
A01,14/07/2021 20:31,18.5
A01,15/07/2021 0:31,14
A01,15/07/2021 4:31,12
A01,15/07/2021 8:31,11
A01,15/07/2021 12:31,24.5
A01,15/07/2021 16:31,31
A01,15/07/2021 20:31,20
A01,16/07/2021 0:31,15.5
A01,16/07/2021 4:31,13
A01,16/07/2021 8:31,12
A01,16/07/2021 12:31,27
A01,16/07/2021 16:31,32.5
A01,16/07/2021 20:31,21.5
A01,17/07/2021 0:31,17.5
A01,17/07/2021 4:31,15
A01,17/07/2021 8:31,14
A01,17/07/2021 12:31,28.5
A01,17/07/2021 16:31,35.5
A01,17/07/2021 20:31,23.5
A01,18/07/2021 0:31,18.5
A01,18/07/2021 4:31,15.5
A01,18/07/2021 8:31,14.5
A01,18/07/2021 12:31,29.5
A01,18/07/2021 16:31,36
A01,18/07/2021 20:31,23.5
A01,19/07/2021 0:31,18.5
A01,19/07/2021 4:31,16.5
A01,19/07/2021 8:31,15
A01,19/07/2021 12:31,29.5
A01,19/07/2021 16:31,36.5
A01,19/07/2021 20:31,25.5
A01,20/07/2021 0:31,19
A01,20/07/2021 4:31,17
A01,20/07/2021 8:31,16
A01,20/07/2021 12:31,29
A01,20/07/2021 16:31,35.5
A01,20/07/2021 20:31,24.5
A01,21/07/2021 0:31,19
A01,21/07/2021 4:31,17
A01,21/07/2021 8:31,15.5
A01,21/07/2021 12:31,27
A01,21/07/2021 16:31,34.5
A01,21/07/2021 20:31,25.5
A01,22/07/2021 0:31,20
A01,22/07/2021 4:31,17
A01,22/07/2021 8:31,16
A01,22/07/2021 12:31,27.5
A01,22/07/2021 16:31,34
A01,22/07/2021 20:31,24
A01,23/07/2021 0:31,18.5
A01,23/07/2021 4:31,16.5
A01,23/07/2021 8:31,15
A01,23/07/2021 12:31,25
A01,23/07/2021 16:31,27.5
A01,23/07/2021 20:31,18.5
A01,24/07/2021 0:31,14.5
A01,24/07/2021 4:31,11.5
A01,24/07/2021 8:31,11
A01,24/07/2021 12:31,23.5
A01,24/07/2021 16:31,24.5
A01,24/07/2021 20:31,19.5
A01,25/07/2021 0:31,15
A01,25/07/2021 4:31,13
A01,25/07/2021 8:31,12
A01,25/07/2021 12:31,24.5
A01,25/07/2021 16:31,29
A01,25/07/2021 20:31,21.5
A01,26/07/2021 0:31,16
A01,26/07/2021 4:31,13
A01,26/07/2021 8:31,12
A01,26/07/2021 12:31,27.5
A01,26/07/2021 16:31,25
A01,26/07/2021 20:31,19
A01,27/07/2021 0:31,15.5
A01,27/07/2021 4:31,13.5
A01,27/07/2021 8:31,12.5
A01,27/07/2021 12:31,22
A01,27/07/2021 16:31,32
A01,27/07/2021 20:31,21
A01,28/07/2021 0:31,16
A01,28/07/2021 4:31,12.5
A01,28/07/2021 8:31,11.5
A01,28/07/2021 12:31,27.5
A01,28/07/2021 16:31,34
A01,28/07/2021 20:31,22.5
A01,29/07/2021 0:31,17.5
A01,29/07/2021 4:31,15
A01,29/07/2021 8:31,13.5
A01,29/07/2021 12:31,27
A01,29/07/2021 16:31,33
A01,29/07/2021 20:31,21.5
A01,30/07/2021 0:31,16.5
A01,30/07/2021 4:31,14.5
A01,30/07/2021 8:31,13
A01,30/07/2021 12:31,27.5
A01,30/07/2021 16:31,30
A01,30/07/2021 20:31,22
A01,31/07/2021 0:31,17.5
A01,31/07/2021 4:31,14.5
A01,31/07/2021 8:31,12.5
A01,31/07/2021 12:31,15
A01,31/07/2021 16:31,26.5
A01,31/07/2021 20:31,17
A01,01/08/2021 0:31,13
A01,01/08/2021 4:31,10
A01,01/08/2021 8:31,10
A01,01/08/2021 12:31,17
A01,01/08/2021 16:31,25.5
A01,01/08/2021 20:31,17.5
A01,02/08/2021 0:31,14.5
A01,02/08/2021 4:31,13
A01,02/08/2021 8:31,11.5
A01,02/08/2021 12:31,18.5
A01,02/08/2021 16:31,18.5
A01,02/08/2021 20:31,17.5
A01,03/08/2021 0:31,13
A01,03/08/2021 4:31,11
A01,03/08/2021 8:31,10.5
A01,03/08/2021 12:31,24.5
A01,03/08/2021 16:31,24
A01,03/08/2021 20:31,19
A01,04/08/2021 0:31,14.5
A01,04/08/2021 4:31,12.5
A01,04/08/2021 8:31,11.5
A01,04/08/2021 12:31,18.5
A01,04/08/2021 16:31,24.5
A01,04/08/2021 20:31,16.5
A01,05/08/2021 0:31,13
A01,05/08/2021 4:31,11.5
A01,05/08/2021 8:31,11.5
A01,05/08/2021 12:31,20.5
A01,05/08/2021 16:31,22.5
A01,05/08/2021 20:31,16
A01,06/08/2021 0:31,12.5
A01,06/08/2021 4:31,11.5
A01,06/08/2021 8:31,10.5
A01,06/08/2021 12:31,22.5
A01,06/08/2021 16:31,26.5
A01,06/08/2021 20:31,18
A01,07/08/2021 0:31,14
A01,07/08/2021 4:31,12
A01,07/08/2021 8:31,10.5
A01,07/08/2021 12:31,16
A01,07/08/2021 16:31,21.5
A01,07/08/2021 20:31,15
A01,08/08/2021 0:31,12
A01,08/08/2021 4:31,9
A01,08/08/2021 8:31,8
A01,08/08/2021 12:31,20.5
A01,08/08/2021 16:31,25.5
A01,08/08/2021 20:31,17.5
A01,09/08/2021 0:31,14
A01,09/08/2021 4:31,12
A01,09/08/2021 8:31,11
A01,09/08/2021 12:31,22.5
A01,09/08/2021 16:31,27
A01,09/08/2021 20:31,20
A01,10/08/2021 0:31,16
A01,10/08/2021 4:31,14
A01,10/08/2021 8:31,12.5
A01,10/08/2021 12:31,24.5
A01,10/08/2021 16:31,31
A01,10/08/2021 20:31,22
A01,11/08/2021 0:31,18
A01,11/08/2021 4:31,15.5
A01,11/08/2021 8:31,14
A01,11/08/2021 12:31,26.5
A01,11/08/2021 16:31,33
A01,11/08/2021 20:31,23
A01,12/08/2021 0:31,19
A01,12/08/2021 4:31,17
A01,12/08/2021 8:31,16
A01,12/08/2021 12:31,27
A01,12/08/2021 16:31,34
A01,12/08/2021 20:31,23.5
A01,13/08/2021 0:31,18.5
A01,13/08/2021 4:31,16.5
A01,13/08/2021 8:31,15.5
A01,13/08/2021 12:31,28.5
A01,13/08/2021 16:31,35.5
A01,13/08/2021 20:31,24.5
A01,14/08/2021 0:31,19.5
A01,14/08/2021 4:31,17.5
A01,14/08/2021 8:31,16
A01,14/08/2021 12:31,30
A01,14/08/2021 16:31,35
A01,14/08/2021 20:31,24
A01,15/08/2021 0:31,20
A01,15/08/2021 4:31,17.5
A01,15/08/2021 8:31,15.5
A01,15/08/2021 12:31,31.5
A01,15/08/2021 16:31,39
A01,15/08/2021 20:31,24.5
A01,16/08/2021 0:31,19
A01,16/08/2021 4:31,16
A01,16/08/2021 8:31,15
A01,16/08/2021 12:31,30
A01,16/08/2021 16:31,38
A01,16/08/2021 20:31,23.5
A01,17/08/2021 0:31,17.5
A01,17/08/2021 4:31,14.5
A01,17/08/2021 8:31,13.5
A01,17/08/2021 12:31,29.5
A01,17/08/2021 16:31,38
A01,17/08/2021 20:31,23.5
A01,18/08/2021 0:31,18.5
A01,18/08/2021 4:31,15.5
A01,18/08/2021 8:31,14
A01,18/08/2021 12:31,30
A01,18/08/2021 16:31,37.5
A01,18/08/2021 20:31,25
A01,19/08/2021 0:31,18.5
A01,19/08/2021 4:31,16
A01,19/08/2021 8:31,14.5
A01,19/08/2021 12:31,29
A01,19/08/2021 16:31,35.5
A01,19/08/2021 20:31,23
A01,20/08/2021 0:31,18.5
A01,20/08/2021 4:31,16
A01,20/08/2021 8:31,14.5
A01,20/08/2021 12:31,28
A01,20/08/2021 16:31,33
A01,20/08/2021 20:31,23
A01,21/08/2021 0:31,18
A01,21/08/2021 4:31,15.5
A01,21/08/2021 8:31,14.5
A01,21/08/2021 12:31,27
A01,21/08/2021 16:31,28.5
A01,21/08/2021 20:31,22.5
A01,22/08/2021 0:31,18
A01,22/08/2021 4:31,16
A01,22/08/2021 8:31,14.5
A01,22/08/2021 12:31,27
A01,22/08/2021 16:31,33.5
A01,22/08/2021 20:31,23.5
A01,23/08/2021 0:31,18.5
A01,23/08/2021 4:31,16.5
A01,23/08/2021 8:31,15.5
A01,23/08/2021 12:31,29
A01,23/08/2021 16:31,37
A01,23/08/2021 20:31,24.5
A01,24/08/2021 0:31,19
A01,24/08/2021 4:31,16.5
A01,24/08/2021 8:31,15
A01,24/08/2021 12:31,29.5
A01,24/08/2021 16:31,36
A01,24/08/2021 20:31,23.5
A01,25/08/2021 0:31,18.5
A01,25/08/2021 4:31,15.5
A01,25/08/2021 8:31,15
A01,25/08/2021 12:31,29
A01,25/08/2021 16:31,33.5
A01,25/08/2021 20:31,24.5
A01,26/08/2021 0:31,19.5
A01,26/08/2021 4:31,17
A01,26/08/2021 8:31,16
A01,26/08/2021 12:31,25.5
A01,26/08/2021 16:31,19
A01,26/08/2021 20:31,17
A01,27/08/2021 0:31,15
A01,27/08/2021 4:31,14
A01,27/08/2021 8:31,13.5
A01,27/08/2021 12:31,24.5
A01,27/08/2021 16:31,23
A01,27/08/2021 20:31,20
A01,28/08/2021 0:31,17
A01,28/08/2021 4:31,15
A01,28/08/2021 8:31,14
A01,28/08/2021 12:31,27.5
A01,28/08/2021 16:31,20.5
A01,28/08/2021 20:31,18.5
A01,29/08/2021 0:31,16
A01,29/08/2021 4:31,14
A01,29/08/2021 8:31,13
A01,29/08/2021 12:31,24
A01,29/08/2021 16:31,29
A01,29/08/2021 20:31,22.5
A01,30/08/2021 0:31,18
A01,30/08/2021 4:31,15.5
A01,30/08/2021 8:31,14.5
A01,30/08/2021 12:31,22
A01,30/08/2021 16:31,26
A01,30/08/2021 20:31,20
A01,31/08/2021 0:31,16.5
A01,31/08/2021 4:31,14
A01,31/08/2021 8:31,13
A01,31/08/2021 12:31,24.5
A01,31/08/2021 16:31,25.5
A01,31/08/2021 20:31,20.5
A01,01/09/2021 0:31,17
A01,01/09/2021 4:31,15
A01,01/09/2021 8:31,14
A01,01/09/2021 12:31,15.5
A01,01/09/2021 16:31,16
A01,01/09/2021 20:31,13.5
A01,02/09/2021 0:31,12
A01,02/09/2021 4:31,11.5
A01,02/09/2021 8:31,11
A01,02/09/2021 12:31,13.5
A01,02/09/2021 16:31,13
A01,02/09/2021 20:31,12.5
A01,03/09/2021 0:31,11.5
A01,03/09/2021 4:31,11
A01,03/09/2021 8:31,10.5
A01,03/09/2021 12:31,14.5
A01,03/09/2021 16:31,18
A01,03/09/2021 20:31,14.5
A01,04/09/2021 0:31,12
A01,04/09/2021 4:31,9.5
A01,04/09/2021 8:31,8
A01,04/09/2021 12:31,20.5
A01,04/09/2021 16:31,26.5
A01,04/09/2021 20:31,18.5
A01,05/09/2021 0:31,14.5
A01,05/09/2021 4:31,13
A01,05/09/2021 8:31,12
A01,05/09/2021 12:31,20.5
A01,05/09/2021 16:31,23.5
A01,05/09/2021 20:31,19
A01,06/09/2021 0:31,16
A01,06/09/2021 4:31,14.5
A01,06/09/2021 8:31,14.5
A01,06/09/2021 12:31,15
A01,06/09/2021 16:31,22.5
A01,06/09/2021 20:31,17
A01,07/09/2021 0:31,15
A01,07/09/2021 4:31,14
A01,07/09/2021 8:31,12.5
A01,07/09/2021 12:31,16.5
A01,07/09/2021 16:31,14
A01,07/09/2021 20:31,13
A01,08/09/2021 0:31,11.5
A01,08/09/2021 4:31,9.5
A01,08/09/2021 8:31,9.5
A01,08/09/2021 12:31,11
A01,08/09/2021 16:31,11.5
A01,08/09/2021 20:31,11
A01,09/09/2021 0:31,10.5
A01,09/09/2021 4:31,9.5
A01,09/09/2021 8:31,9
A01,09/09/2021 12:31,11
A01,09/09/2021 16:31,12.5
A01,09/09/2021 20:31,11
A01,10/09/2021 0:31,8.5
A01,10/09/2021 4:31,8
A01,10/09/2021 8:31,7.5
A01,10/09/2021 12:31,13
A01,10/09/2021 16:31,14.5
A01,10/09/2021 20:31,12.5
A01,11/09/2021 0:31,10
A01,11/09/2021 4:31,9
A01,11/09/2021 8:31,8
A01,11/09/2021 12:31,14.5
A01,11/09/2021 16:31,16
A01,11/09/2021 20:31,12.5
A01,12/09/2021 0:31,10
A01,12/09/2021 4:31,9
A01,12/09/2021 8:31,8.5
A01,12/09/2021 12:31,18
A01,12/09/2021 16:31,20.5
A01,12/09/2021 20:31,15.5
A01,13/09/2021 0:31,13
A01,13/09/2021 4:31,12
A01,13/09/2021 8:31,11
A01,13/09/2021 12:31,14.5
A01,13/09/2021 16:31,11
A01,13/09/2021 20:31,10
A01,14/09/2021 0:31,9.5
A01,14/09/2021 4:31,9
A01,14/09/2021 8:31,8
A01,14/09/2021 12:31,9
A01,14/09/2021 16:31,10
A01,14/09/2021 20:31,9
A01,15/09/2021 0:31,9
A01,15/09/2021 4:31,8.5
A01,15/09/2021 8:31,7.5
A01,15/09/2021 12:31,13
A01,15/09/2021 16:31,13.5
A01,15/09/2021 20:31,11
A01,16/09/2021 0:31,10
A01,16/09/2021 4:31,9
A01,16/09/2021 8:31,8
A01,16/09/2021 12:31,15
A01,16/09/2021 16:31,18
A01,16/09/2021 20:31,14
A01,17/09/2021 0:31,10
A01,17/09/2021 4:31,8.5
A01,17/09/2021 8:31,6.5
A01,17/09/2021 12:31,17
A01,17/09/2021 16:31,20.5
A01,17/09/2021 20:31,13.5
A01,18/09/2021 0:31,9.5
A01,18/09/2021 4:31,7
A01,18/09/2021 8:31,5.5
A01,18/09/2021 12:31,10
A01,18/09/2021 16:31,12.5
A01,18/09/2021 20:31,10
A01,19/09/2021 0:31,7
A01,19/09/2021 4:31,5.5
A01,19/09/2021 8:31,6
A01,19/09/2021 12:31,16
A01,19/09/2021 16:31,17.5
A01,19/09/2021 20:31,13
A01,20/09/2021 0:31,10
A01,20/09/2021 4:31,8
A01,20/09/2021 8:31,7
A01,20/09/2021 12:31,12
A01,20/09/2021 16:31,13
A01,20/09/2021 20:31,9
A01,21/09/2021 0:31,7
A01,21/09/2021 4:31,5.5
A01,21/09/2021 8:31,4.5
A01,21/09/2021 12:31,12.5
A01,21/09/2021 16:31,14
A01,21/09/2021 20:31,9
A01,22/09/2021 0:31,7
A01,22/09/2021 4:31,6.5
A01,22/09/2021 8:31,6
A01,22/09/2021 12:31,7.5
A01,22/09/2021 16:31,10
A01,22/09/2021 20:31,8.5
A01,23/09/2021 0:31,7
A01,23/09/2021 4:31,6
A01,23/09/2021 8:31,5
A01,23/09/2021 12:31,16.5
A01,23/09/2021 16:31,20
A01,23/09/2021 20:31,13
A01,24/09/2021 0:31,10
A01,24/09/2021 4:31,9.5
A01,24/09/2021 8:31,9
A01,24/09/2021 12:31,9
A01,24/09/2021 16:31,10.5
A01,24/09/2021 20:31,8.5
A01,25/09/2021 0:31,8
A01,25/09/2021 4:31,7
A01,25/09/2021 8:31,6.5
A01,25/09/2021 12:31,7.5
A01,25/09/2021 16:31,7.5
A01,25/09/2021 20:31,7
A01,26/09/2021 0:31,6.5
A01,26/09/2021 4:31,6
A01,26/09/2021 8:31,6
A01,26/09/2021 12:31,12
A01,26/09/2021 16:31,13
A01,26/09/2021 20:31,10
A01,27/09/2021 0:31,8
A01,27/09/2021 4:31,7
A01,27/09/2021 8:31,7.5
A01,27/09/2021 12:31,9.5
A01,27/09/2021 16:31,14.5
A01,27/09/2021 20:31,10
A01,28/09/2021 0:31,8
A01,28/09/2021 4:31,7.5
A01,28/09/2021 8:31,7.5
A01,28/09/2021 12:31,13
A01,28/09/2021 16:31,19
A01,28/09/2021 20:31,12.5
A01,29/09/2021 0:31,8
A01,29/09/2021 4:31,6.5
A01,29/09/2021 8:31,6
A01,29/09/2021 12:31,13
A01,29/09/2021 16:31,17.5
A01,29/09/2021 20:31,13
