species,code,collection_year,temperature_regime,opt_temp,family,community
Anthyllis vulneraria,120722-02,2022,15_5//10,cold,Fabaceae,Temperate
Conopodium majus,250821-04,2021,15_5//10,cold,Apiaceae,Mediterranean
Festuca rubra,310821-02,2021,22_12//17,warm,Poaceae,Temperate
Gentianella campestris,300921-03,2021,15_5//10,cold,Gentianaceae,Temperate
Helianthemum canum,310821-05,2021,15_5//10,cold,Cistaceae,Temperate
Jasione laevis,040822-08,2022,15_5//10,cold,Campanulaceae,Mediterranean
Minuartia sp,310821-10,2021,15_5//10,cold,Caryophyllaceae,Temperate
Scilla verna,310821-06,2021,22_12//17,warm,Asparagaceae,Temperate
Sedum album,300821-14,2021,22_12//17,warm,Crassulaceae,Temperate
Sedum anglicum,240821-09,2021,22_12//17,warm,Crassulaceae,Mediterranean
Solidago virgaurea,250821-13,2021,15_5//10,cold,Asteraceae,Mediterranean
Thymus praecox,120821-06,2021,22_12//17,warm,Lamiaceae,Mediterranean
Thymus praecox,130921-10,2021,22_12//17,warm,Lamiaceae,Temperate
Agrostis tileni,090822-01,2022,15_5//10,cold,Poaceae,Mediterranean
Armeria cantabrica,230822-01,2022,22_12//17,warm,Plumbaginaceae,Temperate
Armeria duriaei,040822-02,2022,22_12//17,warm,Plumbaginaceae,Mediterranean
Festuca glacialis,230822-04,2022,22_12//17,warm,Poaceae,Temperate
Helianthemum urrielense,140921-04,2021,22_12//17,warm,Cistaceae,Temperate
Jasione cavanillesii,230822-02,2022,22_12//17,warm,Campanulaceae,Temperate
Luzula caespitosa,040822-04,2022,15_5//10,cold,Juncaceae,Mediterranean
Pedicularis pyrenaica,300822-02,2022,15_5//10,cold,Orobanchaceae,Temperate
Saxifraga conifera,120722-01,2022,22_12//17,warm,Saxifragaceae,Temperate
Spergula morisonii,300522-01,2022,22_12//17,warm,Caryophyllaceae,Mediterranean
Veronica nummularia,190822-06,2022,22_12//17,warm,Plantaginaceae,Temperate
Androsace villosa,310822-01,2022,22_12//17,warm,Primulaceae,Temperate
Avenella flexuosa,110822-03,2022,22_12//17,warm,Poaceae,Mediterranean
Carex sempervirens,190822-08,2022,22_12//17,warm,Cyperaceae,Temperate
Erigeron alpinus,190822-12,2022,15_5//10,cold,Asteraceae,Temperate
Euphrasia salisburgensis,011021-01,2021,15_5//10,cold,Orobanchaceae,Temperate
Gentiana verna,130921-06,2021,15_5//10,cold,Gentianaceae,Temperate
Gypsophila repens,190822-10,2022,22_12//17,warm,Caryophyllaceae,Temperate
Kobresia myosuroides,130921-03,2021,22_12//17,warm,Cyperaceae,Temperate
Linaria alpina,190822-01,2022,22_12//17,warm,Plantaginaceae,Temperate
Minuartia verna,300821-06,2021,15_5//10,cold,Caryophyllaceae,Temperate
Phyteuma hemisphaericum,040822-09,2022,15_5//10,cold,Campanulaceae,Mediterranean
Plantago alpina,190822-07,2022,15_5//10,cold,Plantaginaceae,Temperate
Salix breviserrata,140722-01,2022,15_5//10,cold,Salicaceae,Temperate
Saxifraga oppositifolia,190822-05,2022,22_12//17,warm,Saxifragaceae,Temperate
Saxifraga paniculata,310821-14,2021,22_12//17,warm,Saxifragaceae,Temperate
Sedum atratum,300822-07,2022,22_12//17,warm,Crassulaceae,Temperate
Sempervivum arachnoideum,230921-02,2021,22_12//17,warm,Crassulaceae,Mediterranean
Silene acaulis,130921-07,2021,22_12//17,warm,Caryophyllaceae,Temperate
Arenaria erinacea,300821-08,2021,22_12//17,warm,Caryophyllaceae,Temperate
Cerastium ramosissimum,280721-02,2021,22_12//17,warm,Caryophyllaceae,Mediterranean
Dianthus langeanus,040822-01,2022,22_12//17,warm,Caryophyllaceae,Mediterranean
Festuca summilusitana,250821-02,2021,22_12//17,warm,Poaceae,Mediterranean
Galium pyrenaicum,310822-03,2022,15_5//10,cold,Rubiaceae,Temperate
Helictochloa marginata,040822-10,2022,22_12//17,warm,Poaceae,Mediterranean
Jurinea humilis,110822-01,2022,15_5//10,cold,Asteraceae,Mediterranean
Koeleria vallesiana,300821-02,2021,22_12//17,warm,Poaceae,Temperate
Minuartia recurva,110821-07,2021,22_12//17,warm,Caryophyllaceae,Mediterranean
Neoschischkinia truncatula,240821-07,2021,22_12//17,warm,Poaceae,Mediterranean
Phalacrocarpum oppositifolium,040822-05,2022,22_12//17,warm,Asteraceae,Mediterranean
Plantago holosteum,090822-02,2022,22_12//17,warm,Plantaginaceae,Mediterranean
Sedum brevifolium,250821-08,2021,15_5//10,cold,Crassulaceae,Mediterranean
Sempervivum vicentei,300822-08,2022,22_12//17,warm,Crassulaceae,Temperate
Silene ciliata,040822-07,2022,15_5//10,cold,Caryophyllaceae,Mediterranean
Teesdalia conferta,090822-04,2022,22_12//17,warm,Brassicaceae,Mediterranean
