trait;term;estimate;std.error;statistic;p.value
plant_height;(Intercept);8.873777099;2.676669604;3.315230646;0.001866535
plant_height;elevation;-0.003163937;0.001236723;-2.558323902;0.01412284
plant_height;FDD;-0.001094147;0.001324873;-0.825850457;0.413447644
plant_height;GDD;-8.25E-05;0.000105641;-0.78048851;0.439378943
plant_height;Snw;0.0011473;0.000774086;1.482134636;0.145596514
seed_mass;(Intercept);19.46561683;7.017806612;2.773746543;0.008163951
seed_mass;elevation;-0.008294916;0.003242493;-2.558191353;0.014127498
seed_mass;FDD;-0.002465425;0.003473609;-0.709759001;0.481684929
seed_mass;GDD;0.000503528;0.000276973;1.817967711;0.076040124
seed_mass;Snw;0.001949463;0.002029533;0.960547426;0.342150172
LDMC;(Intercept);0.43368019;0.244542755;1.773432993;0.083239559
LDMC;elevation;-0.000157738;0.000112988;-1.396063694;0.169861718
LDMC;FDD;4.39E-05;0.000121042;0.36267585;0.718623674
LDMC;GDD;1.51E-05;9.65E-06;1.56116267;0.12581591
LDMC;Snw;9.28E-05;7.07E-05;1.312516616;0.196308658
SLA;(Intercept);2.33300925;1.46631646;1.591068035;0.118920272
SLA;elevation;2.75E-05;0.000677494;0.040557571;0.967836341
SLA;FDD;-0.002560049;0.000725784;-3.527288402;0.001012761
SLA;GDD;-0.000155709;5.79E-05;-2.690600353;0.010115833
SLA;Snw;-0.000640814;0.000424055;-1.511157946;0.138062948
leaf_area;(Intercept);19.39212844;4.152887608;4.669552915;2.96E-05
leaf_area;elevation;-0.007319972;0.001918791;-3.814886704;0.000430792
leaf_area;FDD;-0.000726704;0.002055558;-0.353531232;0.72541771
leaf_area;GDD;-1.02E-05;0.000163903;-0.062311836;0.950603251
leaf_area;Snw;0.000111174;0.001201005;0.09256706;0.926677451
odds_B_dark;(Intercept);-23.93511314;48.92626438;-0.489207861;0.627180776
odds_B_dark;elevation;0.004313527;0.022605788;0.190815163;0.849568492
odds_B_dark;FDD;0.032674067;0.02421707;1.349216367;0.184329377
odds_B_dark;GDD;0.000198269;0.001930983;0.102677755;0.918696087
odds_B_dark;Snw;0.001691808;0.014149359;0.1195678;0.905382423
odds_C_WP;(Intercept);-76.29732267;48.88379729;-1.560789605;0.125903927
odds_C_WP;elevation;0.029909542;0.022586166;1.32424167;0.192418857
odds_C_WP;FDD;0.003538342;0.02419605;0.146236358;0.884418234
odds_C_WP;GDD;0.000562834;0.001929307;0.291728552;0.771896986
odds_C_WP;Snw;-0.003610314;0.014137078;-0.255379102;0.799647929
odds_D_constant;(Intercept);-112.4376429;33.10560338;-3.396332687;0.001480347
odds_D_constant;elevation;0.05297417;0.015296043;3.463259782;0.001220275
odds_D_constant;FDD;-0.016235761;0.016386306;-0.990812765;0.327319965
odds_D_constant;GDD;-0.001182848;0.001306586;-0.905297164;0.370352695
odds_D_constant;Snw;-0.019129513;0.009574062;-1.998056169;0.052060315
