trait;term;estimate;std.error;statistic;p.value
LDMC;(Intercept);0.197045985;0.039037868;5.047560147;9.12E-06
LDMC;elevation;-3.74E-05;1.93E-05;-1.936776672;0.05951912
LDMC;FDD;-5.83E-05;4.09E-05;-1.42588399;0.161292513
LDMC;GDD;1.32E-05;6.26E-06;2.113516263;0.040538434
LDMC;Snw;-2.93E-05;2.90E-05;-1.011794035;0.317430198
SLA;(Intercept);5.132515207;1.986671117;2.583475022;0.013351941
SLA;elevation;0.002100128;0.000981861;2.138925162;0.03830064
SLA;FDD;-0.007340635;0.002081525;-3.526565825;0.001033054
SLA;GDD;-0.000450399;0.000318804;-1.412776533;0.165089402
SLA;Snw;-0.000422867;0.001474202;-0.286844791;0.775641545
leaf_area;(Intercept);2.848381195;1.203688548;2.36637725;0.02265099
leaf_area;elevation;0.000253859;0.000594892;0.426731365;0.671754509
leaf_area;FDD;-0.003333568;0.001261159;-2.643258101;0.011492465
leaf_area;GDD;0.000292163;0.000193158;1.512564185;0.137879322
leaf_area;Snw;-0.000600904;0.000893193;-0.672759799;0.504784997
odds_B_dark;(Intercept);-9.044280827;12.92569675;-0.699713215;0.487964024
odds_B_dark;elevation;0.005516332;0.006388194;0.863519757;0.392756411
odds_B_dark;FDD;-0.007454183;0.013542836;-0.550415182;0.584950416
odds_B_dark;GDD;-0.009448607;0.002074206;-4.555288924;4.45E-05
odds_B_dark;Snw;0.005735274;0.009591465;0.59795601;0.553080161
odds_C_WP;(Intercept);-50.46451272;9.273925808;-5.441548032;2.51E-06
odds_C_WP;elevation;0.018248055;0.0045834;3.981336062;0.000266313
odds_C_WP;FDD;0.005929815;0.009716711;0.61026975;0.544971322
odds_C_WP;GDD;0.000471431;0.001488201;0.316779291;0.75298033
odds_C_WP;Snw;-0.008732516;0.006881682;-1.268950853;0.211446178
odds_D_constant;(Intercept);-32.92754085;8.821109364;-3.732811768;0.000563133
odds_D_constant;elevation;0.01580828;0.004359607;3.626079217;0.000772235
odds_D_constant;FDD;0.015684132;0.009242275;1.69699916;0.097096828
odds_D_constant;GDD;-0.000715371;0.001415537;-0.505370579;0.615940514
odds_D_constant;Snw;0.002970454;0.006545671;0.45380436;0.652305975
plant_height;(Intercept);1.369432018;0.547233335;2.502464543;0.016311655
plant_height;elevation;-0.000354513;0.000270456;-1.310796952;0.197048754
plant_height;FDD;-0.000287781;0.000573361;-0.501918868;0.618345799
plant_height;GDD;0.000355679;8.78E-05;4.050309883;0.000215669
plant_height;Snw;-3.23E-05;0.000406072;-0.07952953;0.936989178
seed_mass;(Intercept);0.024394033;1.022793409;0.023850401;0.981084895
seed_mass;elevation;0.001521225;0.000505489;3.009409979;0.004412776
seed_mass;FDD;0.000478723;0.001071627;0.446725122;0.657368617
seed_mass;GDD;0.000122087;0.000164129;0.743845783;0.461111129
seed_mass;Snw;-0.000575823;0.00075896;-0.758699982;0.452268934
