trait;term;estimate;std.error;statistic;p.value
LDMC;(Intercept);0.12310042;0.051942893;2.369918421;0.022461223
LDMC;GDD;4.15E-05;8.34E-06;4.980875569;1.13E-05
LDMC;FDD;-5.47E-05;5.44E-05;-1.00468706;0.320801015
LDMC;elevation;-9.98E-06;2.57E-05;-0.388850086;0.699351464
LDMC;Snw;6.18E-06;3.85E-05;0.160273957;0.873433652
SLA;(Intercept);11.12690855;2.918684244;3.812302949;0.000444073
SLA;GDD;-0.001128867;0.000468366;-2.410225637;0.020399961
SLA;FDD;0.001117845;0.003058037;0.365543137;0.716540634
SLA;elevation;-0.000853341;0.001442485;-0.591577059;0.557304797
SLA;Snw;0.000953075;0.002165799;0.440057235;0.662152033
leaf_area;(Intercept);1.255184527;2.766085181;0.453776527;0.652325847
leaf_area;GDD;0.000705552;0.000443878;1.589519183;0.119443518
leaf_area;FDD;-0.003453541;0.002898152;-1.191635369;0.240094518
leaf_area;elevation;0.001042533;0.001367067;0.762605717;0.449960569
leaf_area;Snw;-0.001171562;0.002052563;-0.570779881;0.571190346
odds_B_dark;(Intercept);1.22610299;24.09171148;0.050893146;0.959651944
odds_B_dark;GDD;-0.008810536;0.003866033;-2.27896034;0.027816572
odds_B_dark;FDD;0.000298211;0.025241974;0.011814076;0.990629891
odds_B_dark;elevation;0.000329778;0.01190671;0.02769685;0.978035124
odds_B_dark;Snw;-0.013126078;0.017877165;-0.734237106;0.466883776
odds_C_WP;(Intercept);-39.75941785;19.54311007;-2.034446806;0.048252515
odds_C_WP;GDD;0.002014965;0.003136112;0.642504004;0.524038005
odds_C_WP;FDD;0.001320077;0.020476199;0.064468868;0.94890277
odds_C_WP;elevation;0.013052282;0.009658681;1.351352461;0.183816993
odds_C_WP;Snw;-0.011933801;0.014501892;-0.822913385;0.415205262
odds_D_constant;(Intercept);-5.000323827;14.58046248;-0.34294686;0.733349059
odds_D_constant;GDD;0.003379853;0.002339749;1.444536734;0.156007523
odds_D_constant;FDD;0.024687676;0.015276609;1.616044232;0.113572646
odds_D_constant;elevation;-0.000529466;0.007206019;-0.073475518;0.941776545
odds_D_constant;Snw;0.000884952;0.010819378;0.08179321;0.935199711
plant_height;(Intercept);1.147835264;1.467383507;0.782232633;0.438465901
plant_height;GDD;0.000936367;0.000235473;3.976530782;0.000270243
plant_height;FDD;-0.001036643;0.001537444;-0.67426366;0.503838201
plant_height;elevation;-0.000438378;0.000725217;-0.604478823;0.548777134
plant_height;Snw;0.00025846;0.001088866;0.237366482;0.813526566
seed_mass;(Intercept);-0.382445549;2.061532404;-0.185515177;0.853718012
seed_mass;GDD;-0.000408364;0.000330817;-1.23441092;0.223912066
seed_mass;FDD;-0.003613228;0.002159961;-1.672821287;0.10179648
seed_mass;elevation;0.002108462;0.001018859;2.06943367;0.044694008
seed_mass;Snw;-0.001338685;0.001529752;-0.875099412;0.386496923
