Func.div;term;estimate;std.error;statistic;p.value
Germ.Mpd.ab;(Intercept);2.466475713;1.855733025;1.329111289;0.190820699
Germ.Mpd.ab;elevation;-0.000973972;0.000857419;-1.135934915;0.262275427
Germ.Mpd.ab;FDD;0.001448396;0.000918534;1.576856408;0.122158023
Germ.Mpd.ab;GDD;2.24E-05;7.32E-05;0.306404062;0.760775774
Germ.Mpd.ab;Snw;0.001130006;0.000536674;2.105573461;0.041119058
Germ.Mpd.pa;(Intercept);1.541883786;1.044951778;1.475554966;0.147348914
Germ.Mpd.pa;elevation;-0.000609874;0.000482807;-1.26318345;0.213329765
Germ.Mpd.pa;FDD;0.000953642;0.000517221;1.843781116;0.072113079
Germ.Mpd.pa;GDD;8.59E-05;4.12E-05;2.082048242;0.043323906
Germ.Mpd.pa;Snw;0.00056957;0.000302198;1.884761546;0.066232272
Germ.Rao.ab;(Intercept);4.299099245;1.569196159;2.739682494;0.008917156
Germ.Rao.ab;elevation;-0.001985345;0.000725028;-2.738301359;0.00894901
Germ.Rao.ab;FDD;-0.000760252;0.000776706;-0.978814924;0.333146536
Germ.Rao.ab;GDD;9.41E-05;6.19E-05;1.51959564;0.135932099
Germ.Rao.ab;Snw;-0.000101643;0.000453808;-0.223978633;0.823834736
Germ.Rao.pa;(Intercept);1.986010811;0.741348351;2.678917148;0.010422244
Germ.Rao.pa;elevation;-0.000826136;0.000342531;-2.411857538;0.020212713
Germ.Rao.pa;FDD;0.000123263;0.000366946;0.335916517;0.738567465
Germ.Rao.pa;GDD;5.92E-05;2.93E-05;2.023850441;0.049227631
Germ.Rao.pa;Snw;0.000291228;0.000214396;1.358365811;0.181431907
Wplant.Mpd.ab;(Intercept);-3.075207606;1.180433678;-2.605150686;0.012562508
Wplant.Mpd.ab;elevation;0.001526825;0.000545405;2.799432176;0.007635455
Wplant.Mpd.ab;FDD;0.00104416;0.00058428;1.787088718;0.080973534
Wplant.Mpd.ab;GDD;5.40E-05;4.66E-05;1.160110181;0.252404847
Wplant.Mpd.ab;Snw;-0.000829869;0.000341379;-2.430933511;0.019303551
Wplant.Mpd.pa;(Intercept);-1.391354491;0.766894497;-1.814271059;0.076617026
Wplant.Mpd.pa;elevation;0.000808851;0.000354334;2.282734203;0.027450945
Wplant.Mpd.pa;FDD;6.38E-05;0.00037959;0.168014072;0.867359965
Wplant.Mpd.pa;GDD;-3.79E-06;3.03E-05;-0.125284014;0.900882621
Wplant.Mpd.pa;Snw;-8.63E-05;0.000221784;-0.389214065;0.699038685
Wplant.Rao.ab;(Intercept);0.852930617;0.820980285;1.038917294;0.304650043
Wplant.Rao.ab;elevation;-0.000407882;0.000379324;-1.07528572;0.288243465
Wplant.Rao.ab;FDD;-0.000201919;0.000406361;-0.496894616;0.621794437
Wplant.Rao.ab;GDD;8.45E-05;3.24E-05;2.608244617;0.012465195
Wplant.Rao.ab;Snw;-0.000517584;0.000237426;-2.179985389;0.034779852
Wplant.Rao.pa;(Intercept);-0.455684075;0.522592855;-0.87196767;0.388068886
Wplant.Rao.pa;elevation;0.000352186;0.000241458;1.458583736;0.151946025
Wplant.Rao.pa;FDD;-0.00042736;0.000258668;-1.652153468;0.105788134
Wplant.Rao.pa;GDD;-1.35E-05;2.06E-05;-0.655340379;0.515739561
Wplant.Rao.pa;Snw;-0.00016252;0.000151133;-1.07534689;0.2882164
