;Func.div;term;estimate;std.error;statistic;p.value
1;Germ.Mpd.ab;(Intercept);0.23227595;0.290020917;0.800893785;0.427700693
2;Germ.Mpd.ab;elevation;8.87E-05;0.000143335;0.619088704;0.539201683
3;Germ.Mpd.ab;FDD;-0.00035638;0.000303868;-1.172813025;0.2474798
4;Germ.Mpd.ab;GDD;-9.40E-05;4.65E-05;-2.018749562;0.049927624
5;Germ.Mpd.ab;Snw;-5.18E-05;0.000215209;-0.240652209;0.810995548
6;Germ.Mpd.pa;(Intercept);-0.158462426;0.168880343;-0.938311841;0.353449082
7;Germ.Mpd.pa;elevation;0.000251303;8.35E-05;3.010886052;0.00439522
8;Germ.Mpd.pa;FDD;-0.000162547;0.000176944;-0.91864033;0.363529532
9;Germ.Mpd.pa;GDD;-4.07E-05;2.71E-05;-1.501463049;0.140717245
10;Germ.Mpd.pa;Snw;-2.24E-05;0.000125317;-0.179015594;0.858786254
11;Germ.Rao.ab;(Intercept);0.142481904;0.214076929;0.66556403;0.509328701
12;Germ.Rao.ab;elevation;5.38E-05;0.000105802;0.508835932;0.613530014
13;Germ.Rao.ab;FDD;-0.000389803;0.000224298;-1.737877465;0.089560494
14;Germ.Rao.ab;GDD;-2.81E-05;3.44E-05;-0.819246261;0.417270598
15;Germ.Rao.ab;Snw;-6.78E-05;0.000158855;-0.427107619;0.671482612
16;Germ.Rao.pa;(Intercept);-0.209058171;0.126696231;-1.650074111;0.106387789
17;Germ.Rao.pa;elevation;0.000244281;6.26E-05;3.901240062;0.000339672
18;Germ.Rao.pa;FDD;-0.00020654;0.000132745;-1.555911508;0.127233186
19;Germ.Rao.pa;GDD;-1.59E-05;2.03E-05;-0.780571959;0.439431667
20;Germ.Rao.pa;Snw;6.49E-06;9.40E-05;0.069016305;0.945304189
21;W.plant.Mpd.ab;(Intercept);-0.081553993;0.214342159;-0.380485077;0.705502982
22;W.plant.Mpd.ab;elevation;0.000146424;0.000105933;1.382234034;0.174206956
23;W.plant.Mpd.ab;FDD;0.000386325;0.000224576;1.720243469;0.092749499
24;W.plant.Mpd.ab;GDD;7.94E-05;3.44E-05;2.30970408;0.025890658
25;W.plant.Mpd.ab;Snw;-0.000158239;0.000159052;-0.994888482;0.325488053
26;W.plant.Mpd.pa;(Intercept);0.293087126;0.125401531;2.337189365;0.024270915
27;W.plant.Mpd.pa;elevation;-3.36E-05;6.20E-05;-0.542864871;0.590092305
28;W.plant.Mpd.pa;FDD;8.27E-05;0.000131389;0.629249811;0.532593495
29;W.plant.Mpd.pa;GDD;5.92E-05;2.01E-05;2.942067017;0.005287365
30;W.plant.Mpd.pa;Snw;-7.24E-05;9.31E-05;-0.778426261;0.440681372
31;W.plant.Rao.ab;(Intercept);0.012515554;0.206966436;0.060471418;0.952067017
32;W.plant.Rao.ab;elevation;5.71E-05;0.000102288;0.558251194;0.579636883
33;W.plant.Rao.ab;FDD;0.000152625;0.000216848;0.703832187;0.485421337
34;W.plant.Rao.ab;GDD;7.34E-05;3.32E-05;2.208570233;0.032715345
35;W.plant.Rao.ab;Snw;-7.25E-05;0.000153579;-0.472171599;0.639248476
36;W.plant.Rao.pa;(Intercept);0.219619163;0.131825376;1.665985484;0.103158733
37;W.plant.Rao.pa;elevation;-1.66E-05;6.52E-05;-0.254467974;0.800375858
38;W.plant.Rao.pa;FDD;-1.07E-06;0.000138119;-0.007719486;0.993877353
39;W.plant.Rao.pa;GDD;6.55E-05;2.12E-05;3.097264004;0.00347493
40;W.plant.Rao.pa;Snw;-6.52E-05;9.78E-05;-0.666618942;0.508661201
