;trait;data_type;term;estimate;std.error;statistic;p.value
1;LDMC;Abundance;(Intercept);0.364334333;0.020424402;17.83818884;1.21E-20
2;LDMC;Abundance;scale(elevation);0.075923782;0.021362773;3.554022785;0.000991227
3;LDMC;Abundance;scale(FDD);0.089808657;0.032007951;2.805823327;0.007714111
4;LDMC;Abundance;scale(GDD);0.078879118;0.032444799;2.431179119;0.019624314
5;LDMC;Abundance;scale(Snw);-0.037330843;0.02166866;-1.722803445;0.092648241
6;LDMC;Abundance;scale(auto);-0.048150999;0.020936536;-2.299855091;0.026753906
13;SLA;Abundance;(Intercept);0.252065676;0.016454194;15.3192358;2.48E-18
14;SLA;Abundance;scale(elevation);0.007919112;0.017594582;0.450088115;0.655076842
15;SLA;Abundance;scale(FDD);-0.055803939;0.026328639;-2.119514775;0.040302701
16;SLA;Abundance;scale(GDD);-0.033404284;0.027179965;-1.229003943;0.226251589
17;SLA;Abundance;scale(Snw);-0.026035678;0.017743985;-1.46729596;0.150114859
18;SLA;Abundance;scale(auto);-0.007272765;0.017793665;-0.408727756;0.68491955
25;Tconstant;Abundance;(Intercept);0.463406551;0.034285288;13.51619233;1.68E-16
26;Tconstant;Abundance;scale(elevation);-0.132204858;0.037119363;-3.561614357;0.000969761
27;Tconstant;Abundance;scale(FDD);0.014611322;0.054324781;0.268962374;0.789341122
28;Tconstant;Abundance;scale(GDD);-0.046836544;0.055400029;-0.845424546;0.402902768
29;Tconstant;Abundance;scale(Snw);0.124426961;0.03659926;3.399712448;0.001540343
30;Tconstant;Abundance;scale(auto);0.064770668;0.037507677;1.726864304;0.091908401
37;WP;Abundance;(Intercept);0.600921943;0.026241125;22.90000694;1.33E-24
38;WP;Abundance;scale(elevation);0.007552744;0.028084106;0.268933058;0.789363522
39;WP;Abundance;scale(FDD);0.053529602;0.041345245;1.29469791;0.202848525
40;WP;Abundance;scale(GDD);0.012251938;0.041624804;0.294342232;0.770018536
41;WP;Abundance;scale(Snw);0.058309808;0.027874717;2.091852945;0.042845031
42;WP;Abundance;scale(auto);-0.001634232;0.027670089;-0.059061313;0.953197358
49;Wplanttraits;Abundance;(Intercept);0.256;0.0103;24.8;6.76E-26
50;Wplanttraits;Abundance;scale(elevation);0.0234;0.0113;2.08;4.45E-02
51;Wplanttraits;Abundance;scale(FDD);0.0331;0.0164;2.03;4.94E-02
