trait;data_type;term;estimate;std.error;statistic;p.value
LDMC;Abundance;(Intercept);0.161541723;0.007480611;21.5947219;1.17E-23
LDMC;Abundance;scale(elevation);0.008936238;0.007737132;1.154980728;0.254951572
LDMC;Abundance;scale(FDD);0.010989693;0.008048446;1.365442934;0.179743976
LDMC;Abundance;scale(GDD);0.02453272;0.008076653;3.037486017;0.004187571
LDMC;Abundance;scale(Snw);-0.006551838;0.008149713;-0.803934763;0.426186773
LDMC;Abundance;scale(disturbance);-0.012633415;0.008513926;-1.483853146;0.14568562
LDMC;Abundance;scale(auto);0.02166417;0.008115333;2.669535596;0.010922802
LDMC;Presence;(Intercept);0.184408305;0.006721909;27.43391761;1.48E-27
LDMC;Presence;scale(elevation);0.013606888;0.007067707;1.925219564;0.061333005
LDMC;Presence;scale(FDD);0.004978248;0.007232457;0.688320394;0.495223868
LDMC;Presence;scale(GDD);0.035751949;0.007208245;4.959868927;1.35E-05
LDMC;Presence;scale(Snw);-0.00755993;0.007178537;-1.053129587;0.298601953
LDMC;Presence;scale(disturbance);-0.007604524;0.007712831;-0.985957548;0.330080601
LDMC;Presence;scale(auto);0.003915605;0.00727324;0.538357827;0.593313426
SLA;Abundance;(Intercept);0.279875352;0.011930789;23.45824345;5.40E-25
SLA;Abundance;scale(elevation);0.008264616;0.012589591;0.656464216;0.515284534
SLA;Abundance;scale(FDD);-0.007029684;0.012826856;-0.548044187;0.586707229
SLA;Abundance;scale(GDD);0.00018218;0.013875372;0.013129713;0.989589575
SLA;Abundance;scale(Snw);-0.006449315;0.01324439;-0.486946929;0.628953761
SLA;Abundance;scale(disturbance);0.001970994;0.013729223;0.143561916;0.886567229
SLA;Abundance;scale(auto);-0.015704808;0.014517648;-1.081773599;0.285831891
SLA;Presence;(Intercept);0.27646903;0.006315448;43.77662798;2.06E-35
SLA;Presence;scale(elevation);0.008324248;0.006956984;1.196531043;0.238533509
SLA;Presence;scale(FDD);-0.005275007;0.006800948;-0.77562819;0.44253034
SLA;Presence;scale(GDD);-0.008881173;0.006874291;-1.291940283;0.203792669
SLA;Presence;scale(Snw);0.007197005;0.006739226;1.067927532;0.291956155
SLA;Presence;scale(disturbance);-0.005268882;0.007129539;-0.739021464;0.464208751
SLA;Presence;scale(auto);-0.015409874;0.007055969;-2.183948694;0.034889326
Tconstant;Abundance;(Intercept);0.127926023;0.016171366;7.910650421;1.05E-09
Tconstant;Abundance;scale(elevation);0.008862182;0.016722818;0.529945504;0.599079253
Tconstant;Abundance;scale(FDD);-0.000433576;0.017384378;-0.024940567;0.98022638
Tconstant;Abundance;scale(GDD);-0.043000589;0.01718634;-2.50202132;0.016538821
Tconstant;Abundance;scale(Snw);0.003218167;0.01743005;0.184633243;0.854449646
Tconstant;Abundance;scale(disturbance);0.034838692;0.018411226;1.892252665;0.065711015
Tconstant;Abundance;scale(auto);0.017503019;0.016658735;1.050681133;0.299711592
Tconstant;Presence;(Intercept);0.133599459;0.009106928;14.67009126;1.09E-17
Tconstant;Presence;scale(elevation);0.02455236;0.009436444;2.601865589;0.012937893
Tconstant;Presence;scale(FDD);0.006747688;0.009928184;0.679649781;0.500640763
Tconstant;Presence;scale(GDD);-0.018832786;0.010169687;-1.851855039;0.071437815
Tconstant;Presence;scale(Snw);0.002598167;0.009743533;0.266655529;0.791104296
Tconstant;Presence;scale(disturbance);0.01801225;0.010613072;1.697175954;0.09743252
Tconstant;Presence;scale(auto);0.011870392;0.010627288;1.11697284;0.270670496
WP;Abundance;(Intercept);0.494343129;0.018621848;26.54640577;5.14E-27
WP;Abundance;scale(elevation);-0.004128522;0.019250802;-0.214459728;0.831278153
WP;Abundance;scale(FDD);-0.005645112;0.020111846;-0.280685931;0.780398021
WP;Abundance;scale(GDD);-0.024077706;0.020898106;-1.15214778;0.256099992
WP;Abundance;scale(Snw);-0.027869247;0.020980707;-1.32832738;0.191599385
WP;Abundance;scale(disturbance);-0.042104235;0.022246342;-1.892636299;0.065658569
WP;Abundance;scale(auto);-0.073720444;0.023527396;-3.133387227;0.003229734
WP;Presence;(Intercept);0.474356897;0.005912587;80.22831081;8.20E-46
WP;Presence;scale(elevation);0.008205134;0.006282437;1.306043208;0.19899894
WP;Presence;scale(FDD);0.000587224;0.006526586;0.089974082;0.928756837
WP;Presence;scale(GDD);-0.005517445;0.006323719;-0.872499949;0.388143186
WP;Presence;scale(Snw);-0.007784139;0.006607608;-1.178057147;0.24573515
WP;Presence;scale(disturbance);0.009156701;0.006722833;1.362030026;0.180809943
WP;Presence;scale(auto);-0.005792704;0.006621503;-0.874832139;0.386888023
Wplanttraits;Abundance;(Intercept);0.28118351;0.007686632;36.58084758;2.29E-32
Wplanttraits;Abundance;scale(elevation);0.01141005;0.007947507;1.435676568;0.158868851
Wplanttraits;Abundance;scale(FDD);0.008337214;0.00844477;0.987263547;0.329448033
Wplanttraits;Abundance;scale(GDD);0.021168128;0.008135649;2.601897778;0.012936858
