"","trait","community_metric","term","estimate","std.error","statistic","p.value"
"1","LDMC","CM","(Intercept)",0.129574509267328,0.00138243211217224,93.7293832560977,1.85171363562383e-49
"2","LDMC","CM","scale(elevation)",-0.00395607576438016,0.00147202307428202,-2.68750934241281,0.010353477663395
"3","LDMC","CM","scale(FDD)",-0.00214523500967894,0.0014078775795118,-1.52373689367426,0.135251367417592
"4","LDMC","CM","scale(GDD)",0.00307900906005986,0.00140606949605142,2.18979863278911,0.0342845134890225
"5","LDMC","CM","scale(Snw)",-0.000827754544077406,0.00145876326199352,-0.567435831189091,0.573512247378992
"6","LDMC","CM","scale(auto)",0.00400702304593649,0.00145396858809591,2.75592133058665,0.00869352149231884
"7","LDMC","CWM","(Intercept)",0.141449468086443,0.00189789432568256,74.5296859642448,2.11600784885163e-45
"8","LDMC","CWM","scale(elevation)",0.000149202132172813,0.00200895340747812,0.0742685876225025,0.941157849581144
"9","LDMC","CWM","scale(FDD)",-0.00261210090088712,0.00195147806422664,-1.33852434663276,0.188101100766103
"10","LDMC","CWM","scale(GDD)",0.0112521792461555,0.00200922259406776,5.60026513706227,1.59981809840929e-06
"11","LDMC","CWM","scale(Snw)",0.000861270050472661,0.00198427867611592,0.434046921352063,0.666529981882525
"12","LDMC","CWM","scale(auto)",-0.00456614148959362,0.00208185559500411,-2.193303656868,0.0340130614336005
"13","SLA","CM","(Intercept)",8.67878996978199,0.0752811018137732,115.285108223458,3.93987881245591e-53
"14","SLA","CM","scale(elevation)",0.150427689202793,0.0790358540331309,1.90328416189108,0.0640403126143364
"15","SLA","CM","scale(FDD)",-0.285839830919247,0.0775549777413647,-3.68564132495124,0.000661617941356663
"16","SLA","CM","scale(GDD)",-0.0942918674625224,0.0774681413325957,-1.21716961115276,0.23049942492989
"17","SLA","CM","scale(Snw)",-0.00487499949427506,0.0794764419425228,-0.0613389247822726,0.951387333181297
"18","SLA","CM","scale(auto)",0.0957989722496835,0.0797983661242691,1.20051295411859,0.236830612076566
"19","SLA","CWM","(Intercept)",8.44812035887544,0.111838683246167,75.5384462125715,1.22410552439716e-45
"20","SLA","CWM","scale(elevation)",-0.0639598822665903,0.115785593082866,-0.552399314660982,0.583673896023875
"21","SLA","CWM","scale(FDD)",0.0301969340464781,0.115224635247261,0.262070120523085,0.79457962311153
"22","SLA","CWM","scale(GDD)",-0.279359783822731,0.11437143077876,-2.44256613667031,0.018980622786701
"23","SLA","CWM","scale(Snw)",0.0353796640128182,0.11786913063658,0.300160557914883,0.765571360984878
"24","SLA","CWM","scale(auto)",0.0785657625789645,0.116687238567854,0.673302098354814,0.504533009113854
"25","leaf_area","CM","(Intercept)",3.4798730698902,0.0463172431860446,75.1312649570363,1.52540729260303e-45
"26","leaf_area","CM","scale(elevation)",0.0151459487972131,0.0495316341429325,0.305783345518275,0.761316869831016
"27","leaf_area","CM","scale(FDD)",-0.123005810412063,0.0471812432104525,-2.60709133634724,0.0126764161079306
"28","leaf_area","CM","scale(GDD)",0.0684051244470216,0.0473843001060965,1.44362424460967,0.15644276539119
"29","leaf_area","CM","scale(Snw)",-0.0298768408450619,0.0483524062331314,-0.617897705049271,0.540060031217819
"30","leaf_area","CM","scale(auto)",0.0193984557312194,0.0488527824950233,0.397079853807623,0.693368150089885
"31","leaf_area","CWM","(Intercept)",3.81849994958348,0.106547007502261,35.8386409820327,1.42332137429699e-32
"32","leaf_area","CWM","scale(elevation)",0.0822420669657736,0.110340287056138,0.745349401927248,0.460312287053757
"33","leaf_area","CWM","scale(FDD)",-0.128961431289879,0.108554303142435,-1.18799004329353,0.24167384216494
"34","leaf_area","CWM","scale(GDD)",0.17218837677604,0.109093561689021,1.57835507531485,0.122169362100294
"35","leaf_area","CWM","scale(Snw)",-0.0560229546030888,0.113265773681653,-0.494615034904966,0.623511976135335
"36","leaf_area","CWM","scale(auto)",0.0243964248698063,0.111041573687283,0.21970532350804,0.827190883186993
"37","odds_B_dark","CM","(Intercept)",-6.60548211470894,0.493366402965427,-13.3885932949752,1.47048171539438e-16
"38","odds_B_dark","CM","scale(elevation)",0.530085841433866,0.519432309587172,1.02050995221141,0.313470826828353
"39","odds_B_dark","CM","scale(FDD)",-0.354747566800638,0.509836397116311,-0.69580667211507,0.490475472529694
"40","odds_B_dark","CM","scale(GDD)",-2.33198927876276,0.504795791818448,-4.619668619586,3.77711554807079e-05
"41","odds_B_dark","CM","scale(Snw)",0.267692799095248,0.513552957974882,0.521256464281413,0.604992448621201
"42","odds_B_dark","CM","scale(auto)",-0.473267586997016,0.519814442892156,-0.910454862246301,0.367904460640891
"43","odds_B_dark","CWM","(Intercept)",-7.76213865408827,0.926623774324173,-8.37679635378397,2.02470196086321e-10
"44","odds_B_dark","CWM","scale(elevation)",-0.145115425181752,1.01072162636917,-0.143576056350009,0.886538610670823
"45","odds_B_dark","CWM","scale(FDD)",0.0729251397178257,0.951052544387869,0.0766783498431865,0.939252392081129
"46","odds_B_dark","CWM","scale(GDD)",-2.24198013725936,0.970996129943294,-2.3089485818963,0.0260620014359019
