trait;term;estimate;std.error;statistic;p.value
LDMC;(Intercept);0.130877281;0.002583438;50.66011783;1.80E-48
LDMC;scale(elevation);-0.00400339;0.002698957;-1.483309693;0.143598743
LDMC;scale(FDD);0.003533744;0.004584902;0.770734928;0.444103756
LDMC;scale(GDD);0.002972525;0.004478508;0.663731014;0.509585917
LDMC;scale(Snw);0.001384479;0.002718314;0.509315401;0.612532343
LDMC;scale(auto);0.001604871;0.002890323;0.555256535;0.580930592
SLA;(Intercept);8.02412852;0.125523429;63.92534524;4.95E-54
SLA;scale(elevation);0.1208961;0.127512394;0.948112543;0.347145802
SLA;scale(FDD);-0.793634262;0.218528466;-3.631720282;0.000611592
SLA;scale(GDD);-0.584120424;0.217769667;-2.682285518;0.009592443
SLA;scale(Snw);-0.217608002;0.131231223;-1.658202954;0.102868334
SLA;scale(auto);0.165632862;0.130934703;1.265003532;0.211108877
leaf_area;(Intercept);3.90586791;0.043096328;90.63110769;1.93E-62
leaf_area;scale(elevation);-0.196900252;0.043772634;-4.498250048;3.50E-05
leaf_area;scale(FDD);0.009895431;0.07329463;0.135008954;0.893088897
leaf_area;scale(GDD);-0.033585353;0.074393335;-0.451456483;0.653404153
leaf_area;scale(Snw);-0.035623143;0.045217917;-0.787810361;0.434129677
leaf_area;scale(auto);-0.041330163;0.043863167;-0.942252136;0.350110842
odds_B_dark;(Intercept);-14.17809403;0.46436689;-30.5320951;1.35E-36
odds_B_dark;scale(elevation);0.929078314;0.471630586;1.969928036;0.053799723
odds_B_dark;scale(FDD);1.533460535;0.804517813;1.906061632;0.06177942
odds_B_dark;scale(GDD);0.798563153;0.802549365;0.995033062;0.324000388
odds_B_dark;scale(Snw);0.364416546;0.489635983;0.744260142;0.459830883
odds_B_dark;scale(auto);0.863769563;0.490530071;1.760890134;0.083716601
odds_C_WP;(Intercept);-11.5100651;0.421781846;-27.28914299;4.93E-34
odds_C_WP;scale(elevation);0.439045821;0.42820331;1.025320942;0.309620516
odds_C_WP;scale(FDD);0.163429252;0.726162868;0.225058673;0.822752887
odds_C_WP;scale(GDD);0.305593619;0.735438099;0.415525956;0.67934485
odds_C_WP;scale(Snw);-0.335153088;0.444156901;-0.754582642;0.453661111
odds_C_WP;scale(auto);-0.125968077;0.436651844;-0.288486305;0.774039659
odds_D_constant;(Intercept);-3.132322962;0.321087984;-9.755341582;1.11E-13
odds_D_constant;scale(elevation);0.940047338;0.325985028;2.88371323;0.005567278
odds_D_constant;scale(FDD);-0.660222903;0.546148164;-1.208871413;0.231791754
odds_D_constant;scale(GDD);-0.11070688;0.559466585;-0.197879343;0.843856025
odds_D_constant;scale(Snw);-0.564195695;0.339187713;-1.663373035;0.101825049
odds_D_constant;scale(auto);-0.628996598;0.33038233;-1.90384455;0.062073615
plant_height;(Intercept);2.031614858;0.029348689;69.22336085;6.06E-56
plant_height;scale(elevation);-0.057640333;0.029812557;-1.933424652;0.058245031
plant_height;scale(FDD);0.001132197;0.051714668;0.021893143;0.982611018
plant_height;scale(GDD);-0.033731919;0.050804643;-0.663953477;0.509444586
plant_height;scale(Snw);0.0254242;0.030683911;0.828584073;0.410857459
plant_height;scale(auto);0.041209932;0.031573086;1.305223441;0.197154348
seed_mass;(Intercept);2.852798399;0.088274645;32.31730256;6.65E-38
seed_mass;scale(elevation);-0.249885594;0.089658518;-2.787081456;0.007248716
seed_mass;scale(FDD);-0.084187488;0.153289117;-0.549207209;0.585046703
seed_mass;scale(GDD);0.028480142;0.152716937;0.186489737;0.852734674
seed_mass;scale(Snw);-0.016288742;0.092300896;-0.176474368;0.860557957
seed_mass;scale(auto);0.006312247;0.092410724;0.068306433;0.945785017
