trait;term;estimate;std.error;statistic;p.value
LDMC;(Intercept);0.127038637;0.00126316;100.572054;2.16E-70
LDMC;scale(elevation);-0.003907204;0.001312858;-2.976105514;0.004158565
LDMC;scale(FDD);-0.002350782;0.001358253;-1.73074004;0.088472664
LDMC;scale(GDD);0.000762607;0.001306653;0.583633529;0.56158419
LDMC;scale(Snw);-0.000539633;0.001337975;-0.403320781;0.688099825
LDMC;scale(auto);0.004533887;0.001300899;3.485194508;0.000908843
SLA;(Intercept);8.667322548;0.085699886;101.1357539;1.53E-70
SLA;scale(elevation);0.200255278;0.08819386;2.270626064;0.026654511
SLA;scale(FDD);-0.184540608;0.095457725;-1.933218169;0.057778983
SLA;scale(GDD);-0.088543217;0.089013652;-0.994715021;0.32374132
SLA;scale(Snw);-0.147902884;0.090684659;-1.630958145;0.107969158
SLA;scale(auto);0.304675755;0.09191643;3.314703949;0.00153577
leaf_area;(Intercept);3.417457944;0.042606419;80.20993061;2.39E-64
leaf_area;scale(elevation);0.00275213;0.044620353;0.061678807;0.951017021
leaf_area;scale(FDD);-0.168574721;0.046383425;-3.634374135;0.000567529
leaf_area;scale(GDD);0.006076668;0.045478884;0.133615163;0.894139654
leaf_area;scale(Snw);-0.026767391;0.045116852;-0.593290306;0.5551451
leaf_area;scale(auto);0.108356575;0.046188934;2.345942333;0.022191653
odds_B_dark;(Intercept);-6.929687118;0.389547247;-17.78907996;4.87E-26
odds_B_dark;scale(elevation);0.311607397;0.402192032;0.774772677;0.441418832
odds_B_dark;scale(FDD);0.426446619;0.439832759;0.969565386;0.33603044
odds_B_dark;scale(GDD);-2.786401951;0.413220995;-6.743127733;5.97E-09
odds_B_dark;scale(Snw);-0.373516621;0.417639971;-0.894350751;0.374593054
odds_B_dark;scale(auto);1.680890679;0.439990399;3.820289447;0.000311006
odds_C_WP;(Intercept);-13.71188877;0.294590422;-46.54560275;6.11E-50
odds_C_WP;scale(elevation);1.02417095;0.303137561;3.378568288;0.001263963
odds_C_WP;scale(FDD);0.063195926;0.326679181;0.193449506;0.847239313
odds_C_WP;scale(GDD);0.659613138;0.309531791;2.131002885;0.037061733
odds_C_WP;scale(Snw);-0.741587826;0.313017789;-2.369155532;0.020957198
odds_C_WP;scale(auto);-0.122220714;0.320055427;-0.381873588;0.703860879
odds_D_constant;(Intercept);-0.538198578;0.253151227;-2.125996324;0.037493164
odds_D_constant;scale(elevation);0.931855248;0.260498897;3.577194599;0.000680649
odds_D_constant;scale(FDD);1.106068941;0.274771132;4.02541902;0.000157348
odds_D_constant;scale(GDD);0.464253201;0.26051441;1.782063417;0.079635745
odds_D_constant;scale(Snw);-0.014408473;0.269956138;-0.053373387;0.957606016
odds_D_constant;scale(auto);-0.746925916;0.260407574;-2.868295667;0.005633938
plant_height;(Intercept);0.945965809;0.021201006;44.61891093;7.79E-49
plant_height;scale(elevation);-0.02773227;0.022142054;-1.252470571;0.215102259
plant_height;scale(FDD);-0.042224639;0.024427345;-1.728580766;0.088861536
plant_height;scale(GDD);0.036085808;0.02445597;1.475541902;0.145127611
plant_height;scale(Snw);0.02279387;0.022678622;1.005081758;0.318764107
plant_height;scale(auto);0.004507051;0.026357415;0.170997468;0.8647826
seed_mass;(Intercept);3.211920221;0.037921158;84.69995128;8.42E-66
seed_mass;scale(elevation);0.094170865;0.039201913;2.402200757;0.019305614
seed_mass;scale(FDD);0.000805997;0.040570313;0.01986667;0.984213531
seed_mass;scale(GDD);0.07668345;0.041332242;1.855293753;0.068309732
seed_mass;scale(Snw);-0.087210366;0.041953709;-2.078728397;0.041786765
seed_mass;scale(auto);-0.008920918;0.042258997;-0.211101042;0.833500759
