"","species","code","A_alternate_light","B_alternate_dark","C_alternate_WP","D_constant_light"
"1","Agrostis tileni","090822-01",0.708333333333333,0.442105263157895,0.217391304347826,0.878787878787879
"2","Androsace villosa","310822-01",0.131313131313131,0.649484536082474,0,0.346938775510204
"3","Anthyllis vulneraria","120722-02",0.0989010989010989,0.56701030927835,0.0869565217391304,0.0707070707070707
"4","Arenaria erinacea","300821-08",0.105263157894737,0.261363636363636,0,0.0537634408602151
"5","Armeria cantabrica","230822-01",0.75,0.734177215189873,0.0317460317460317,0.873417721518987
"6","Armeria duriaei","040822-02",0.0714285714285714,0,0,0.602040816326531
"7","Avenella flexuosa","110822-03",0,0.893617021276596,0,0
"8","Carex sempervirens","190822-08",0.876288659793814,0.263157894736842,0.0235294117647059,0.820224719101124
"9","Cerastium ramosissimum","280721-02",0,0.185185185185185,0,0
"10","Conopodium majus","250821-04",0.0120481927710843,0.463917525773196,0,0.0674157303370786
"11","Dianthus langeanus","040822-01",0.75,0.96,0.555555555555556,0.73
"12","Erigeron alpinus","190822-12",0.938461538461538,0.791666666666667,0.439393939393939,0.861538461538462
"13","Euphrasia salisburgensis","011021-01",0,0,0,0
"14","Festuca glacialis","230822-04",0.928571428571429,1,0,0.989690721649485
"15","Festuca rubra","310821-02",0.91304347826087,0.954545454545455,0,0.955555555555556
"16","Festuca summilusitana","250821-02",0.0606060606060606,0.630769230769231,0.015625,0.0684931506849315
"17","Galium pyrenaicum","310822-03",0,0,0,0.0210526315789474
"18","Gentiana verna","130921-06",0,0,0,0
"19","Gentianella campestris","300921-03",0,0,0,0
"20","Gypsophila repens","190822-10",1,1,0.1,0.97
"21","Helianthemum canum","310821-05",0.123711340206186,0.84375,0.149425287356322,0.268041237113402
"22","Helianthemum urrielense","140921-04",0.0188679245283019,0.0864197530864197,0,0
"23","Helictochloa marginata","040822-10",0.0638297872340425,0.568627450980392,0,0
"24","Jasione cavanillesii","230822-02",0,0.0204081632653061,0,0.0102040816326531
"25","Jasione laevis","040822-08",0.402777777777778,0.276315789473684,0.175438596491228,0.32258064516129
"26","Jurinea humilis","110822-01",0.0769230769230769,0.977777777777778,0.0434782608695652,0.170731707317073
"27","Kobresia myosuroides","130921-03",0,0,0,0
"28","Koeleria vallesiana","300821-02",0.309278350515464,0.947916666666667,0.0487804878048781,0.365591397849462
"29","Linaria alpina","190822-01",0.107692307692308,0,0,0
"30","Luzula caespitosa","040822-04",0.01,0.928571428571429,0,0
"31","Minuartia CF","310821-10",0.103092783505155,0.125,0,0.132530120481928
"32","Minuartia recurva","110821-07",0.561797752808989,0.666666666666667,0.123287671232877,0.674157303370786
"33","Minuartia verna","300821-06",0.133333333333333,0.0933333333333333,0,0.16
"34","Neoschischkinia truncatula","240821-07",0.136842105263158,0.0543478260869565,0.0112359550561798,0.043956043956044
"35","Pedicularis pyrenaica","300822-02",0.410958904109589,0.150684931506849,0.152777777777778,0.0547945205479452
"36","Phalacrocarpum oppositifolium","040822-05",0,0.947368421052632,0,0
"37","Phyteuma hemisphaericum","040822-09",0.505154639175258,0.531914893617021,0.133333333333333,0.548387096774194
"38","Plantago alpina","190822-07",0.926315789473684,1,0.913978494623656,0.878048780487805
"39","Plantago holosteum","090822-02",0.828282828282828,0.99,0.887755102040816,0.885416666666667
"40","Salix breviserrata","140722-01",0,0,0,0
"41","Saxifraga conifera","120722-01",0.072463768115942,0.0125,0,0.255813953488372
"42","Saxifraga oppositifolia","190822-05",0.208791208791209,0,0,0.711340206185567
"43","Saxifraga paniculata","310821-14",0,0,0,0.05
"44","Scilla verna","310821-06",0,0.02,0,0.0227272727272727
"45","Sedum album","300821-14",0,0,0,0
"46","Sedum anglicum","240821-09",0.703296703296703,0.174418604651163,0.137931034482759,0.774193548387097
"47","Sedum atratum","300822-07",0,0,0,0
"48","Sedum brevifolium","250821-08",0.333333333333333,0.15,0,0.402298850574713
"49","Sempervivum arachnoideum","230921-02",0.105263157894737,0.0126582278481013,0.0517241379310345,0.313432835820896
"50","Sempervivum vicentei","300822-08",0.622222222222222,0.0227272727272727,0.5,0.409090909090909
"51","Silene acaulis","130921-07",0.813186813186813,0.827956989247312,0.021978021978022,0.827956989247312
"52","Silene ciliata","040822-07",0.925531914893617,0.956989247311828,0.287234042553192,0.881720430107527
"53","Solidago virgaurea","250821-13",0,0,0,0
"54","Spergula morisonii","300522-01",0.0204081632653061,0,0,0.0714285714285714
"55","Teesdalia conferta","090822-04",0,1,0,0
"56","Thymus praecox","120821-06",0.432432432432432,0.425531914893617,0.146341463414634,0.571428571428571
"57","Thymus praecox","130921-10",0.161290322580645,0.285714285714286,0,0.414634146341463
"58","Veronica nummularia","190822-06",0,0.01,0,0
