trait;micro_variable;x;y;label
plant_height;elevation;2130;2.4;*
plant_height;FDD;95;2.4;NS
plant_height;GDD;2400;2.4;NS
plant_height;Snow;140;2.4;NS
seed_mass;elevation;2130;4.2;*
seed_mass;FDD;95;4.2;NS
seed_mass;GDD;2400;4.2;·
seed_mass;Snow;140;4.2;NS
leaf_area;elevation;2130;4.9;***
leaf_area;FDD;95;4.9;NS
leaf_area;GDD;2400;4.9;NS
leaf_area;Snow;140;4.9;NS
LDMC;elevation;2130;0.15;NS
LDMC;FDD;95;0.15;NS
LDMC;GDD;2400;0.15;NS
LDMC;Snow;140;0.15;NS
SLA;elevation;2130;10.75;NS
SLA;FDD;95;10.75;**
SLA;GDD;2400;10.75;*
SLA;Snow;140;10.75;NS
odds_B_dark;elevation;2130;-8;NS
odds_B_dark;FDD;95;-8;NS
odds_B_dark;GDD;2400;-8;NS
odds_B_dark;Snow;140;-8;NS
odds_C_WP;elevation;2130;-8;NS
odds_C_WP;FDD;95;-8;NS
odds_C_WP;GDD;2400;-8;NS
odds_C_WP;Snow;140;-8;NS
odds_D_constant;elevation;2130;0;***
odds_D_constant;FDD;95;0;NS
odds_D_constant;GDD;2400;0;NS
odds_D_constant;Snow;140;0;·
