trait;micro_variable;x;y;label
plant_height;elevation;2075;1.3;NS
plant_height;FDD;160;1.3;NS
plant_height;GDD;1200;1.3;***
plant_height;Snow;215;1.3;NS
seed_mass;elevation;2075;3.8;**
seed_mass;FDD;160;3.8;NS
seed_mass;GDD;1200;3.8;NS
seed_mass;Snow;215;3.8;NS
leaf_area;elevation;2075;4;NS
leaf_area;FDD;160;4;*
leaf_area;GDD;1200;4;NS
leaf_area;Snow;215;4;NS
LDMC;elevation;2075;0.152;·
LDMC;FDD;160;0.152;NS
LDMC;GDD;1200;0.152;*
LDMC;Snow;215;0.152;NS
SLA;elevation;2075;9.9;*
SLA;FDD;160;9.9;***
SLA;GDD;1200;9.9;NS
SLA;Snow;215;9.9;NS
odds_B_dark;elevation;2075;4.9;NS
odds_B_dark;FDD;160;4.9;NS
odds_B_dark;GDD;1200;4.9;***
odds_B_dark;Snow;215;4.9;NS
odds_C_WP;elevation;2075;-9;***
odds_C_WP;FDD;160;-9;NS
odds_C_WP;GDD;1200;-9;NS
odds_C_WP;Snow;215;-9;NS
odds_D_constant;elevation;2075;5;***
odds_D_constant;FDD;160;5;·
odds_D_constant;GDD;1200;5;NS
odds_D_constant;Snow;215;5;NS
