Func.div;micro_variable;x;y;label
Germ.Mpd.ab;elevation;2130;0.73;NS
Germ.Mpd.ab;FDD;95;0.73;NS
Germ.Mpd.ab;GDD;2400;0.73;NS
Germ.Mpd.ab;Snow;130;0.73;·
Germ.Mpd.pa;elevation;2130;0.52;*
Germ.Mpd.pa;FDD;95;0.52;NS
Germ.Mpd.pa;GDD;2400;0.52;*
Germ.Mpd.pa;Snow;130;0.52;·
Germ.Rao.ab;elevation;2130;0.43;**
Germ.Rao.ab;FDD;95;0.43;NS
Germ.Rao.ab;GDD;2400;0.43;NS
Germ.Rao.ab;Snow;130;0.43;NS
Germ.Rao.pa;elevation;2130;0.42;**
Germ.Rao.pa;FDD;95;0.42;NS
Germ.Rao.pa;GDD;2400;0.42;NS
Germ.Rao.pa;Snow;130;0.42;NS
W.plant.Mpd.ab;elevation;2130;0.5;*
W.plant.Mpd.ab;FDD;95;0.5;NS
W.plant.Mpd.ab;GDD;2400;0.5;NS
W.plant.Mpd.ab;Snow;130;0.5;*
W.plant.Mpd.pa;elevation;2130;0.4;*
W.plant.Mpd.pa;FDD;95;0.4;NS
W.plant.Mpd.pa;GDD;2400;0.4;NS
W.plant.Mpd.pa;Snow;130;0.4;NS
W.plant.Rao.ab;elevation;2130;0.25;NS
W.plant.Rao.ab;FDD;95;0.25;NS
W.plant.Rao.ab;GDD;2400;0.25;**
W.plant.Rao.ab;Snow;130;0.25;*
W.plant.Rao.pa;elevation;2130;0.28;·
W.plant.Rao.pa;FDD;95;0.28;NS
W.plant.Rao.pa;GDD;2400;0.28;NS
W.plant.Rao.pa;Snow;130;0.28;NS
