Func.div;micro_variable;x;y;label
Germ.Mpd.ab;elevation;2115;0.48;NS
Germ.Mpd.ab;FDD;180;0.48;NS
Germ.Mpd.ab;GDD;1300;0.48;*
Germ.Mpd.ab;Snow;215;0.48;NS
Germ.Mpd.pa;elevation;2115;0.45;**
Germ.Mpd.pa;FDD;180;0.45;NS
Germ.Mpd.pa;GDD;1300;0.45;NS
Germ.Mpd.pa;Snow;215;0.45;NS
Germ.Rao.ab;elevation;2115;0.32;NS
Germ.Rao.ab;FDD;180;0.32;NS
Germ.Rao.ab;GDD;1300;0.32;NS
Germ.Rao.ab;Snow;215;0.32;NS
Germ.Rao.pa;elevation;2115;0.33;***
Germ.Rao.pa;FDD;180;0.33;NS
Germ.Rao.pa;GDD;1300;0.33;NS
Germ.Rao.pa;Snow;215;0.33;NS
W.plant.Mpd.ab;elevation;2115;0.46;NS
W.plant.Mpd.ab;FDD;180;0.46;NS
W.plant.Mpd.ab;GDD;1300;0.46;*
W.plant.Mpd.ab;Snow;215;0.46;NS
W.plant.Mpd.pa;elevation;2115;0.33;NS
W.plant.Mpd.pa;FDD;180;0.33;NS
W.plant.Mpd.pa;GDD;1300;0.33;**
W.plant.Mpd.pa;Snow;215;0.33;NS
W.plant.Rao.ab;elevation;2115;0.3;NS
W.plant.Rao.ab;FDD;180;0.3;NS
W.plant.Rao.ab;GDD;1300;0.3;*
W.plant.Rao.ab;Snow;215;0.3;NS
W.plant.Rao.pa;elevation;2115;0.28;NS
W.plant.Rao.pa;FDD;180;0.28;NS
W.plant.Rao.pa;GDD;1300;0.28;**
W.plant.Rao.pa;Snow;215;0.28;NS
